Année	Bibliothèques universitaires (ressources physiques)	Réseaux de bibliothèques des universités (ressources physiques)	Réseaux de bibliothèques des HES (ressources physiques)	Bibliothèques des HEP (ressources physiques)	Bibliothèque nationale (ressources physiques)	Bibliothèques publiques des villes (ressources physiques)	Bibliothèques publiques communales et mixtes (ressources physiques)	Bibliothèques universitaires (ressources électroniques)	Réseaux de bibliothèques des universités (ressources électroniques)	Réseaux de bibliothèques des HES (ressources électroniques)	Bibliothèques des HEP (ressources électroniques)	Bibliothèque nationale (ressources électroniques)	Bibliothèques publiques des villes (ressources électroniques)	Bibliothèques publiques communales et mixtes (ressources électroniques)
2003	36356706.370000005	0.0	997751.0	0.0	1523000.0	11917617.530000001	0.0	7729685.55	0.0	55000.0	0.0	133000.0	631853.0	0.0
2004	35519188.4	0.0	1186199.2	0.0	1570200.0	11934174.239999996	0.0	9308054.96	0.0	52897.0	0.0	150000.0	803045.4800000001	0.0
2005	35654791.33	8589967.370000001	1833148.93	0.0	1662336.0	14355392.649999999	0.0	10788566.879999999	1982026.7	84900.0	0.0	0.0	573927.1	0.0
2006	35865222.0	11669748.85	3395858.2	0.0	1662760.0	16327240.27	0.0	12249675.0	2952803.6599999997	97245.0	0.0	0.0	602257.6599999999	0.0
2007	36584027.0	12682182.0	3500202.0	0.0	1752384.0	16318742.0	0.0	13763554.0	2320787.0	191177.0	0.0	0.0	767372.0	0.0
2008	44403001.0	4306855.97	4100538.0999999996	0.0	1679745.0	17589464.490000006	6234853.619999999	20485528.0	730543.55	312958.0	0.0	97177.0	769250.05	0.0
2009	45853126.0	4637129.0	4070561.0	0.0	1600227.0	17475503.189999994	6202608.7	22474008.0	762362.0	696299.0	0.0	88740.0	1078314.0	0.0
2010	44116674.0	4960128.3	4400336.0	0.0	1696404.0	17962664.639999997	6659080.600000001	24457694.0	1042482.0	974107.0	0.0	78483.0	1029227.0	0.0
2011	42425711.0	5177004.1	4324522.0	0.0	1594398.0	17665265.349999998	7309623.299999999	26278842.0	870754.0	1360395.0	0.0	102512.0	1105913.0	0.0
2012	40878917.0	4807334.0	4494359.0	0.0	1640086.0	17671340.0	7294361.0	34515429.0	1001776.0	1468060.0	0.0	72340.0	1465351.0	0.0
2013	40214242.0	5068681.0	4375303.0	1281944.0	1734016.0	17641099.75	7484125.25	38279496.0	965041.0	1486578.0	125019.0	70480.0	1440198.0	0.0
2014	39471424.0	4849310.0	4209799.0	1080498.0	1801527.0	17080966.0	7740696.0	39385268.0	1733567.0	1793074.0	143307.0	72664.0	1569933.0	0.0
2015	34602545.0	4237618.0	4248577.0	1083066.0	1599092.0	15990129.0	7453591.0	44369054.0	1329780.0	2232055.0	220101.0	66263.0	1701293.0	332298.0
2016	31394626.0	4221580.0	2966316.0	1005329.0	1444002.0	15941758.0	7545073.0	44405141.0	1483364.0	2201836.0	204596.0	54003.0	2026868.0	298377.0
2017	32738518.0	2905979.0	2792946.0	1027772.0	1538279.0	15109534.0	7613764.0	42816556.0	787044.0	2480723.0	280718.0	49168.0	1882457.0	355164.0
2018	31599659.0	2694601.0	2349794.0	1061735.0	1248564.0	15391338.0	7592348.0	51432034.0	932979.0	2723411.0	344557.0	29451.0	2188608.0	387860.0
