Année	Bibliothèques universitaires (ressources physiques)	Réseaux de bibliothèques des universités (ressources physiques)	Réseaux de bibliothèques des HES (ressources physiques)	Bibliothèques des HEP (ressources physiques)	Bibliothèque nationale (ressources physiques)	Bibliothèques publiques des villes (ressources physiques)	Bibliothèques publiques communales et mixtes (ressources physiques)	Bibliothèques universitaires (ressources électroniques)	Réseaux de bibliothèques des universités (ressources électroniques)	Réseaux de bibliothèques des HES (ressources électroniques)	Bibliothèques des HEP (ressources électroniques)	Bibliothèque nationale (ressources électroniques)	Bibliothèques publiques des villes (ressources électroniques)	Bibliothèques publiques communales et mixtes (ressources électroniques)
2003	2596907.597857143	0.0	97417.95714285715	0.0	1523000.0	213811.89600000004	0.0	552120.3964285714	0.0	7857.142857142857	0.0	133000.0	14360.295454545454	0.0
2004	2537084.8857142855	0.0	103828.94242424241	0.0	1570200.0	223594.78621069176	0.0	664861.0685714287	0.0	8816.166666666666	0.0	150000.0	16730.11416666667	0.0
2005	2546770.8092857143	52018.0359871454	47736.262164685904	0.0	1662336.0	159644.56185344825	0.0	770611.9199999999	14056.92695035461	2738.7096774193546	0.0	0.0	11956.814583333333	0.0
2006	2758863.230769231	111248.18443322109	101220.89783549783	0.0	1662760.0	168167.3960583524	0.0	942282.6923076923	36454.3661728395	4630.714285714285	0.0	0.0	15848.885789473681	0.0
2007	2814155.923076923	104088.02045454546	97949.02614379086	0.0	1752384.0	150898.68363979255	0.0	1058734.923076923	26372.579545454544	10620.944444444445	0.0	0.0	18270.761904761905	0.0
2008	3171642.928571428	55729.63172241783	102812.20469416783	0.0	1679745.0	148670.9975107717	16110.732868217052	1463252.0	15219.657291666668	16471.473684210527	0.0	97177.0	16722.827173913043	0.0
2009	3275223.2857142864	39322.57913165266	92390.76923076923	0.0	1600227.0	140746.3742051557	16237.19554973822	1605286.2857142857	13613.607142857143	26780.73076923077	0.0	88740.0	22006.408163265307	0.0
2010	3151191.0	51879.78249468462	77178.02678571429	0.0	1696404.0	139011.18806722685	16773.50277078086	1746978.142857143	20440.823529411766	34789.53571428572	0.0	78483.0	20584.54	0.0
2011	3030407.928571429	52336.65460588793	90070.97648083625	0.0	1594398.0	142747.76745571656	16136.033774834435	1877060.142857143	22327.02564102564	48585.53571428572	0.0	102512.0	20479.87037037037	0.0
2012	2919922.6428571423	52583.84837092731	77187.09006211179	0.0	1640086.0	136467.43517692538	15857.30652173913	2465387.785714286	23851.809523809523	52430.71428571428	0.0	72340.0	25707.912280701756	0.0
2013	2872445.8571428577	49718.279116465856	76048.49125874125	125068.92499999999	1734016.0	134629.21848739497	15856.197563559323	2734249.714285714	22977.166666666668	57176.07692307692	15627.375	70480.0	25717.821428571428	0.0
2014	2819387.4285714286	53866.83135245901	77759.76854219948	132503.19642857142	1801527.0	130564.69369747899	15481.392	2813233.4285714286	28419.131147540982	52737.470588235294	20472.428571428572	72664.0	26165.55	0.0
2015	2471610.3571428573	51304.73195402298	75025.61643118785	117283.70833333334	1599092.0	133082.8199362309	14654.568606786426	3169218.1428571427	22927.241379310344	57232.179487179485	27512.625	66263.0	16844.48514851485	886.128
2016	2242473.285714286	55481.13791044777	88077.5806451613	108861.61111111112	1444002.0	129733.74502601777	14783.636924217088	3171795.785714286	29667.28	78637.0	25574.5	54003.0	18767.296296296296	717.2524038461538
2017	2182567.8666666667	43168.1370967742	79259.9838362069	110298.02777777778	1538279.0	126729.67602239155	14764.948607275453	2854437.066666667	16396.75	85542.1724137931	35089.75	49168.0	17270.24770642202	829.8224299065421
2018	2106643.9333333336	41202.25460574798	93991.76000000001	113185.04166666666	1248564.0	128189.49579831933	14494.623314065511	3428802.2666666666	20282.152173913044	108936.44	43069.625	29451.0	19541.14285714286	881.5
