Année	Ressources physiques	Ressources électroniques
2003	50795074.900000006	8549538.55
2004	50209761.839999996	10313997.440000001
2005	62095636.28	13429420.679999998
2006	68920829.32000001	15901981.32
2007	70837537.0	17042890.0
2008	78314458.18	22395456.6
2009	79839154.89	25099723.0
2010	79795287.53999999	27581993.0
2011	78496523.75	29718416.0
2012	76786397.0	38522956.0
2013	77799411.0	42366812.0
2014	76234220.0	44697813.0
2015	69214618.0	50250844.0
2016	64518684.0	50674185.0
2017	63726792.0	48651830.0
2018	61938039.0	58038900.0
