Année	Bibliothèques universitaires (ressources physiques)	Réseaux de bibliothèques des universités (ressources physiques)	Réseaux de bibliothèques des HES (ressources physiques)	Réseaux de bibliothèques des HEP (ressources physiques)	Bibliothèque nationale (ressources physiques)	Bibliothèques publiques des villes (ressources physiques)	Bibliothèques publiques communales et mixtes (ressources physiques)	Bibliothèques universitaires (ressources électroniques)	Réseaux de bibliothèques des universités (ressources électroniques)	Réseaux de bibliothèques des HES (ressources électroniques)	Bibliothèques des HEP (ressources électroniques)	Bibliothèque nationale (ressources électroniques)	Bibliothèques publiques des villes (ressources électroniques)	Bibliothèques publiques communales et mixtes (ressources électroniques)
2003	30171704.0	8092769.0	279411.0	0.0	3671587	11346159.0	0.0	136388.0	22294.0	16388.0	0.0	2760.0	44083.0	0.0
2004	30632979.0	9119577.0	310437.0	0.0	3736732	11032192.0	0.0	191832.0	33689.0	19305.0	0.0	3273.0	42462.0	0.0
2005	31143451.0	9175544.0	965974.0	0.0	3793102	12948653.0	0.0	248201.0	44106.0	28642.0	0.0	3296.0	10637.0	0.0
2006	29219907.0	8422325.0	1444615.0	0.0	3835631	15691065.0	0.0	283159.0	55145.0	49567.0	0.0	29627.0	86604.0	0.0
2007	29281173.0	9054472.0	1308635.0	0.0	5233320	14393471.0	0.0	343778.0	56572.0	73384.0	0.0	29636.0	45165.0	0.0
2008	38042003.0	5350222.0	1486858.0	0.0	5298067	15267386.0	3588044.0	620717.0	21256.0	112020.0	0.0	43095.0	54841.0	47770.0
2009	38581024.0	4832540.0	1562916.0	0.0	5355581	18678844.0	3562324.0	1224713.0	13368.0	76821.0	0.0	50388.0	245448.0	272371.0
2010	40467332.0	4376354.0	1980177.0	0.0	5420583	19087951.0	3791595.0	1706071.0	16931.0	91676.0	0.0	62009.0	467680.0	86862.0
2011	41118521.0	4784425.0	2005311.0	0.0	5544450	19147653.0	4352880.0	2273336.0	20943.0	151630.0	0.0	188998.0	382218.0	57482.0
2012	43842078.0	4637527.0	2420198.0	0.0	5617898	20575616.0	4470950.0	3484710.0	156071.0	218461.0	0.0	203294.0	575488.0	21526.0
2013	43350607.0	4434090.0	2142265.0	695265.0	5675394	20924604.0	4603001.0	3444532.0	158437.0	415607.1	22387.0	301673.0	780887.0	67273.0
2014	43657855.0	4677187.0	2254128.0	610364.0	5732800	21303269.0	5002964.0	2896676.0	182976.0	577355.0	4266.0	417889.0	1900118.0	2420757.0
2015	43780812.0	4558586.0	2213003.0	752158.0	5790568	21368834.0	5180263.0	6609928.0	437552.0	41036393.0	19741467.0	124505.0	3787049.0	5257612.0
2016	46743003.0	4426068.0	2276916.0	734485.0	5844254	21639488.0	5239162.0	6348389.0	574975.0	57210247.0	2566421.0	152028.0	5298802.0	5986448.0
2017	46726347.0	3770246.0	2310839.0	737392.0	6189400	19783851.0	5389662.0	8282897.0	1987.0	26770135.0	22625380.0	284006.0	8999437.0	6135666.0
2018	44872005.0	3510127.0	2320960.0	769852.0	6443924	21349527.0	5501098.0	9041055.0	2227.0	58164891.0	25210222.0	315257.0	27359745.0	6747322.0
