Année	Bibliothèques universitaires (ressources physiques)	Réseaux de bibliothèques des universités (ressources physiques)	Réseaux de bibliothèques des HES (ressources physiques)	Réseaux de bibliothèques des HEP (ressources physiques)	Bibliothèque nationale (ressources physiques)	Bibliothèques publiques des villes (ressources physiques)	Bibliothèques publiques communales et mixtes (ressources physiques)	Bibliothèques universitaires (ressources électroniques)	Réseaux de bibliothèques des universités (ressources électroniques)	Réseaux de bibliothèques des HES (ressources électroniques)	Bibliothèques des HEP (ressources électroniques)	Bibliothèque nationale (ressources électroniques)	Bibliothèques publiques des villes (ressources électroniques)	Bibliothèques publiques communales et mixtes (ressources électroniques)
2003	3469495.0	733324.0	115522.0	0.0	138462.0	16041680.0	0.0	3753130.0	609780.0	450.0	0.0	25967.0	885.0	0.0
2004	3870751.0	808144.0	113954.0	0.0	169691.0	17421298.0	0.0	4918081.0	666425.0	12000.0	0.0	20653.0	10637.0	0.0
2005	4127729.0	824543.0	471794.0	0.0	202314.0	22678536.0	0.0	5555479.0	660142.0	2362.0	0.0	11042.0	20537.0	0.0
2006	3777099.0	643156.0	678065.0	0.0	1912491.0	19999860.0	0.0	7214646.0	740098.0	113920.0	0.0	22756.0	7266.0	0.0
2007	3767357.0	800226.0	699408.0	0.0	1463879.0	22398743.0	0.0	8130725.0	798799.0	30113.0	0.0	40154.0	9623.0	0.0
2008	4413165.0	330746.0	840359.0	0.0	1618529.0	23936321.0	10263348.0	13496035.0	295850.0	62069.0	0.0	46848.0	140650.0	0.0
2009	5563442.0	289533.0	945129.0	0.0	1384831.0	24675707.0	10225515.0	15911118.0	321277.0	58343.0	0.0	39883.0	37730.0	0.0
2010	5827464.0	273901.0	1285249.0	0.0	243775.0	25492577.0	10772068.0	16505232.0	326768.0	34334.0	0.0	45187.0	75391.0	0.0
2011	5848731.0	289717.0	1286707.0	0.0	193313.0	25365242.0	11781812.0	46274622.0	354548.0	34423.0	0.0	325299.0	145904.0	10617.0
2012	6782907.0	273410.0	1276991.0	0.0	186278.0	25432270.0	11773414.0	140514050.0	432212.0	38537.0	0.0	163911.0	253709.0	39816.0
2013	6783195.0	299436.0	1456656.0	745714.0	190763.0	25274733.0	11966329.0	49766175.0	358729.0	49266.0	18724.0	172248.0	421275.0	71004.0
2014	7687470.0	392728.0	1510275.0	601106.0	190578.0	24776452.0	12526494.0	60001854.0	439158.0	163785.0	26987.0	347126.0	572157.0	168680.0
2015	7300403.0	371343.0	1498267.0	751084.0	143878.0	25316633.0	13205912.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016	7504042.0	351514.0	1672651.0	739620.0	128817.0	26241155.0	13022255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2017	7812068.0	296859.0	1677227.0	774026.0	125011.0	24492529.0	12919711.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2018	6867052.0	300860.0	1500888.0	753089.0	149796.0	25935111.0	13210145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
