Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F39a	F40	F41	F42	F43	F44	F45	F45a	F46	F47	F47a	F47b	F47c	F47d	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G58a	G58b	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB
2003	4227	135629	125.35	118.2	3.15	4.0	153	65	81	7	1	12558	3316	143	28	7.0	294	54		16839	0.0	3671587.0	19428200	12353400	7074800			339700	1656000	133000.0	19198500	0.0	0.0	229700	3671587	3298211			40500	308964	8471	15441	0	51.0			2709.0					62897	53174		586	7870	97	1170	0		15	141			75491	2554	817	1382.0						61589		178186	25067.0	900.0	1
2004	4096	146139	127.0	118.0	5.0	4.0	163	66	85	12	1	12558	3316	143	28	7.0	304	54		17130	0.0	3736732.0	21611200	14233700	7377500			239400	1720200	150000.0	21270900	0.0	0.0	329400	3736732	3352994			41503	317124	8593	16518	0	60.0			3213.0					65145	54783		1003	8160	122	1077	0		58	125			78037	2750	580	1350.0						90304		129345	13153.0	7500.0	1
2005	3489	144587	109.36	104.46	4.9	0.0	153	61	83	9	1	15500	2800	143	41	10.0	304	54		29985	0.0	3883100.0	19344252	13470100	5874152			921446	1662336		19195860	0.0	0.0	148392	3793102	3404805			42192	319677	8651	17746	31	52.0			3244.0					56339	51811		689	2553	58	1197	31	50.0	90	98			72388	2141	642							129926		240000	11042.0		1
2006	3708	144587	126.0	115.0	3.0	8.0	165	68	88	9	1	15500	2800	143	42	10.0	298	54		30467	0.0	3853533.0	21928495	14313123	7615372			717597	1662760		21928495	0.0	0.0	299945	3835631	3456492			24871	325579	8713	19468	508	52.0		477.0	29575.0					60529	51687		679	5902	62	1722	477		100	107			83031	1985	581							1829460	0.0	205603	16496.0	6260.0	1
2007	3409	143144	136.2	123.5	6.7	6.0	174	70	90	14	1	15500	2800	143	42	10.0	297	54		30767	0.0	5100000.0	31483181	15925036	15558145	5860694.0	5776369.0	2168698	1752384		31230103	0.0	0.0	253078	5233320	3508950			163334	1530084	8759	21232	961	36.0		2568.0	29600.0					169315	52458		463	114505	46	1390	453		77	116			77636	1596	692							1386243	0.0	290821	29988.0	10166.0	1
2008	4491	150320	136.9	121.2	9.65	6.0	180	61	106	13	1	15500	2800	143	42	10.0	301	54		31017	0.0	5165391.0	31985889	15229872	16756017	5824012.0	5795897.0	3359186	1776922	97177.0	31642669	0.0	0.0	343220	5298067	3561377			163897	1540460	8830	22093	1410	29.0		3017.0	43066.0					65385	53065		563	10376	71	861	449	0.0	76	97			78436	1337	476		67150.0		66700.0	450.0		1472943	0.0	388997	38529.0	8319.0	1
2009	3675	142693	141.2	129.4	5.75	6.0	185	62	110	13	1	15500	2800	143	42	10.0	301	54		33000	0.0	5239518.0	35890565	16931949	18958616	5953755.0	7041253.0	4274641	1688967	88740.0	35304999	0.0	0.0	585566	5355581	3612951			164619	1544582	8852	22724	1853	32.0		3460.0	50356.0					74127	51574		722	20735	22	631	443	0.0	110	93			77757	1335	465		51680.0		49500.0	2180.0		1255394	0.0	463168	39883.0		1
2010	4280	141500	136.4	125.2	6.2	5.0	182	58	113	11	1	15500	2800	143	42	10.0	307	54		26500	0.0	5391795.0	37270226	17454334	19815892	5874801.0	7700885.0	4465319	1774887	78483.0	36818898	0.0	0.0	451328	5420583	3672061			165129	1548762	9004	23339	2288	31.0		3895.0	61978.0					59110	53218		510	4180	152	615	435	0.0	51	102			79132	1195	599		49940.0		47450.0	2490.0		114703	0.0	294337	45187.0		1
2011	4165	120504	135.5	126.7	4.8	4.0	178	54	115	9	1	15500	2800	143	42	10.0	308	54		28500	0.0	5513278.0	37013963	17635229	19378734	5883925.0	7610385.0	4187514	1696910	102512.0	36475978	0.0	0.0	537985	5544450	3724953			165792	1618022	9042	23969	2672	33.0		4279.0	188965.0					123867	52892		663	69260	38	630	384	0.0	39	79			72722	1241	435		42780.0		40640.0	2140.0		77811	0.0	376287	325299.0		1
2012	4182	104534	133.4	124.35	4.0	5.0	165	48	105	12	1	15500	2800	143	25	10.0	304	52		26000	0.0	5806233.0	37074775	17653706	19421069	5873947.0	7659225.0	4175471	1712426	72340.0	36680528	0.0	0.0	394247	5617898	3779040			166602	1635653	9094	24467	3042	31.0		4649.0	203263.0					73448	54087		810	17631	52	498	370	0.0	61	76			69429	1185	219		40700.0		38815.0	1885.0		76149	0.0	573003	163911.0		1
2013	5178	113008	131.4	124.35	2.0	5.0	166	48	108	10	1	15500	2800	151	15	10.0	303	52		26500	0.0	5951969.0	35453704	18051705	17401999	4032867.0	7453108.0	4111528	1804496	70480.0	35696648	0.0	0.0	243944	5675394	3832472			167220	1638403	9146	24755	3398	31.0		5005.0	301642.0					57496	53432		618	2750	52	288	356	0.0	40	59			86543	1109	202		34760.0		34000.0	760.0		69460	0.0	579054	172248.0		1
2014	4305	118551	126.0	124.1	1.9	0.0	169	46	112	11	1	15500	2800	151	20	0.0	298	52		26500	0.0	6018308.0	36066733	18395318	17671415	4353853.0	7494907.0	3948464	1874191	72664.0	35786830	0.0	0.0	279903	5732800	3885212			168188	1641577	9146	25001	3676	31.0		5283.0	417858.0					57406	52740		968	3174	0	246	278	0.0	82	61			76121	1153	412		44080.0		41876.0	2204.0		70377	0.0	527204	347126.0		1
2015	6247	98958	124.7	121.7	3.0		167	43	113	11	2	15500	3862	151	20		301	52		26500		6076076.0	36245563	18665588	17579975	3913943.0	7508677.0	4492000	1665355	66263.0	35975609	0.0	0.0	269954	5790568	3937627			168705	1646073	9146	25140	3877	31.0	0.0			39.0	9653.0	0.0	114782.0	57768	52415		517	4496	0	139	201		80	51		935.0	69605	1300	252		19860.0		18867.0	993.0		54413		515249			1
2016	6187	104341	146.1	145.4	0.7		192	54	125	13	3	15500	4114	151	20		305	52		26500			37705179	20857812	16847367	3434958.0	7754468.0	4159936	1498005	54003.0	36919750	0.0	0.0	785429	5844254	3988526			169181	1648007	9146	25303	4091					37.0	29887.0		122104.0	59220	50899		476	1934	0	5697	214		104	71		1126.0	76475	1256	277		17580.0		16701.0	879.0		34762		527464			1
2017	6262	88516	146.5	145.0	1.5		191	54	127	10	3	15500	4114	151	20		299	52		26500		6137278.0	37130586	21630890	15499696	3979492.0	6137403.0	3795354	1587447	49168.0	36189647	0.0	0.0	940939	6189400	4041090			169797	1650056	9146	315000	4311					36.0	50812.0	70516.0	162642.0	61202	52564		616	2049	0	5753	220		95	63		819.0	71626	1133	255		26540.0		25213.0	1327.0		26845		473524			1
2018	6484	80991	145.2	144.4	0.8		189	58	121	10	3	15500	3792	136	19		250	45		27300		6202877.0	36154886	21406779	14748107	3152795.0	6112348.0	4204949	1278015	29451.0	35364717			790169	6443924	4095944			170519	1652097	9146	511721	4497					28.0	60010.0	89255.0	165964.0	65599	54854		722	2092	0	7745	186		86	66		1454.0	65382	1014	174		50000.0		47500.0	2500.0		34414		183655			1
