Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2013	2747.5	44209.0	8.549999999999999	6.390000000000001	1.4149	0.74	14.2	3.4	7.6	3.2	1.7	959.1	723.5	69.0	12.0	4.7	229.4	46.515	52813.2	5792.3	0.0	16489.4	852676.1	674397.0	245718.8	101292.16666666667	74573.25	53454.142857142855	140696.3	15627.375	955051.5714285715	38952.42857142857	0.0	24534.5	69526.5	54119.2	0.0	118.55555555555556	665.3333333333334	0.0	6766.3	7935.5	969.8571428571429	8.428571428571429	2228.285714285714	4352.2	3972.2	0.0	2.6	2.625	0.0	173.625	262.6666666666667	3149.9	17.6	26.3	74554.3	416.5	603.4	21.375	0.0	0.0	0.0	0.0	0.0	0.0	82.5	33735.875	4372.75	616.5	10.0								
2014	3056.125	23554.5	9.05	7.65625	0.34375	1.05	15.375	3.125	9.0	3.25	1.875	906.25	660.375	54.25	9.875	5.875	232.8125	47.1875	54545.25	7610.0	0.0	15823.125	984814.875	791497.8571428572	292254.25	80545.16666666667	108720.33333333333	50799.5	152975.625	20472.428571428572	1081765.5	35551.6	0.0	74469.5	76295.5	64577.125	0.0	126.875	503.625	0.0	6980.375	4107.5	794.2	11.8	59.0	16027.0	9904.25	0.0	0.0	0.0	0.0	592.125	5530.625	3278.875	23.5	30.375	75119.5	475.42857142857144	934.1428571428571	18.571428571428573	0.0	0.0	0.0	0.0	0.0	3.3333333333333335	40.0	32085.8	4842.6	693.5	8.0								
2015	3000.6666666666665	45649.333333333336	9.37	7.694444444444445	0.6277777777777778	1.0477777777777777	15.777777777777779	3.111111111111111	8.555555555555555	3.888888888888889	1.7777777777777777	978.8888888888889	739.7777777777778	70.66666666666667	13.0		236.11111111111111	48.53333333333333	59194.77777777778	7241.111111111111	0.0	18246.333333333332	1037156.3333333334	849287.625	282234.0	84437.42857142857	122933.0	57144.42857142857	144796.33333333334	27512.625	1139227.1666666667	45219.0	0.0	54146.666666666664	83573.11111111111	70719.0	0.0	128.11111111111111	749.6666666666666	0.0	7710.555555555556	4265.777777777777	30154.444444444445			5191.888888888889	4427.0	0.0	0.8888888888888888	2.875	0.0	197.5	268.125	3214.125	23.22222222222222	34.44444444444444	83435.66666666667	538.1111111111111	1018.125	17.875	0.0	0.0	0.0	0.0	0.0	2.5	51.5	51594.4			9.0	0.0	11043.375	69.66666666666667	39939.11111111111	21091.222222222223	2702882.4285714286	41.4	457.25
2016	3159.5555555555557	20702.5	9.715555555555556	7.959999999999998	0.5611111111111111	1.1944444444444444	15.777777777777779	3.3333333333333335	7.888888888888889	4.555555555555555	1.7777777777777777	977.2222222222222	762.3333333333334	70.66666666666667	12.777777777777779		236.11111111111111	49.75555555555556	59712.0	8580.444444444445	0.0	17285.444444444445	962343.8888888889	855723.5	201700.77777777778	101433.5		39929.6	134436.11111111112	25574.5	771735.4	56293.0	0.0	53322.25	81609.44444444444	70092.55555555556	0.0	126.0	696.1111111111111	0.0	7671.666666666667	3023.1111111111113	32393.625			4869.222222222223	4420.666666666667	0.0	1.0	16.0	0.0	164.125	323.375	3944.625	33.625	30.75	82161.22222222222	717.875	1054.75	23.428571428571427	0.0	0.0	0.0	0.0	0.0	0.625	43.0	46920.833333333336			9.0	0.0	11135.0	72.33333333333333	51766.88888888889	29037.777777777777	175486.55555555556	36.833333333333336	478.3333333333333
2017	3293.222222222222	37446.333333333336	9.792222222222222	8.009999999999998	0.5233333333333333	1.258888888888889	15.88888888888889	3.0	8.555555555555555	4.333333333333333	1.8888888888888888	984.3333333333334	769.4444444444445	72.88888888888889	12.555555555555555		237.55555555555554	49.47777777777778	61904.88888888889	8476.444444444445	0.0	17117.555555555555	1025203.3333333334	919608.375	207773.66666666666	88769.0		41279.4	145387.77777777778	35089.75	758026.0	45628.25	0.0	53830.125	81932.44444444444	70388.77777777778	0.0	123.11111111111111	596.6666666666666	0.0	7243.666666666667	3580.222222222222	47983.0			4947.333333333333	4566.333333333333	0.0	0.8888888888888888	8.375	0.0	151.125	268.125	3092.5714285714284	17.333333333333332	31.77777777777778	85985.77777777778	569.7142857142857	1211.0	18.625	0.0	0.0	0.0	0.0	0.0	0.7142857142857143	75.5	30561.25			9.0	0.0	15787.222222222223	71.0	62682.77777777778	26800.444444444445	2381725.3333333335	45.42857142857143	618.2857142857143
2018	3175.3333333333335	46694.333333333336	9.98	8.13888888888889	0.43333333333333335	1.4077777777777778	15.666666666666666	2.888888888888889	8.555555555555555	4.222222222222222	1.8888888888888888	997.4444444444445	773.1111111111111	72.11111111111111	13.11111111111111		234.55555555555554	50.58888888888889	60313.666666666664	8807.555555555555	0.0	18788.0	999261.5555555555	883693.0	213756.66666666666	71677.25		46161.8	156254.66666666666	43069.625	760279.6	54336.25	0.0	55848.0	85539.11111111111	74230.0	0.0	120.0	554.4444444444445	0.0	7156.666666666667	3478.0	53079.444444444445			6024.666666666667	5640.777777777777	0.0	0.3333333333333333	7.125	0.0	138.5	285.875	3851.8888888888887	14.444444444444445	35.888888888888886	83652.88888888889	1870.2857142857142	1763.4285714285713	29.714285714285715	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	107.8	48670.71428571428			9.0	0.0	17461.222222222223	69.33333333333333	70064.66666666667	78649.22222222222	3898909.6666666665	57.375	762.75
2003																																																																															
2004																																																																															
2005																																																																															
2006																																																																															
2007																																																																															
2008																																																																															
2009																																																																															
2010																																																																															
2011																																																																															
2012																																																																															
