Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2003	12353.0	0.0	25.015	24.270000000000003	0.75	0.0	52.0	5.0	22.0	25.0	13.0	3670.0	2811.0	398.0	75.0	14.0	2222.0	395.0	0.0	0.0	0.0	0.0	4260375.59	2286674.2	2003701.3900000001	0.0	602479.0	171504.0	1052751.0	55000.0	3397889.54	136500.0	0.0	71038.05	279411.0	230034.0	0.0	1327.0	500.0	1000.0	16352.0	548.0	16249.0	218.0	139.0	20457.0	15423.0	0.0	367.0	10.0	0.0	1699.0	124.0	1293.0	4.0	264.0	114372.0	576.0	9775.0	1140.0	10.0	0.0	5.0	5.0	0.0	0.0	4196.0	48241.0	450.0	0.0	11.0								
2004	13360.0	0.0	33.27	31.02	2.25	0.0	63.0	9.0	25.0	29.0	14.0	3920.0	3001.0	342.0	75.0	14.0	2160.0	386.5	0.0	0.0	0.0	0.0	4967951.87	2754725.1	2213226.77	0.0	606218.65	214662.65	1239096.2	52897.0	3972073.77	105000.0	0.0	101712.1	310437.0	285368.0	0.0	1201.0	500.0	1020.0	20252.0	1096.0	19027.0	413.0	278.0	34256.0	21911.0	0.0	2.0	0.0	0.0	3591.0	433.0	1533.0	6.0	263.0	113791.0	877.0	7592.0	100.0	30.0	1.0	5.0	5.0	19.0	33.0	0.0	72097.0	12000.0	0.0	11.0								
2005	48057.0	12423.0	118.79	89.81	5.427	2.5300000000000002	189.0	35.0	76.0	45.0	53.0	17261.6	12582.900000000001	1920.0	395.0	52.0	9430.0	1661.95	441270.0	36683.0	75594.0	90957.0	15555748.530000001	10776353.2	4718158.33	0.0	823714.21	382885.1	1918048.93	84900.0	8154583.58	100000.0	0.0	395823.18	965974.0	729225.0	2817.0	2505.0	5786.0	2220.0	42032.0	7336.0	26940.0	1147.0	1702.0	73629.0	68835.0	30.0	195.0	641.0	20.0	5134.0	274.0	7340.0	50.0	920.0	469508.0	7950.0	19874.0	1631.0	128.0	108.0	5.0	5.0	10.0	527.0	4060.0	179228.0	2277.0	85.0	42.0								
2006	65324.0	369304.0	162.94999999999996	137.37	10.76	7.2	259.0	56.0	125.0	75.0	413.0	27351.199999999997	21308.949999999997	2272.0	521.0	68.0	13285.0	2333.0	938363.0	57881.0	92618.0	217051.0	20618776.3	13287753.05	7331022.7	1873973.8	1173858.65	529747.45	3493103.2	97245.0	8461650.89	128000.0	61419.0	260890.8	1444615.0	1059734.0	13995.0	4980.0	34110.0	2200.0	60720.0	268876.0	47697.0	2329.0	1870.0	105649.0	72959.0	1858.0	570.0	12135.0	37.0	9692.0	8398.0	16026.0	113.0	1533.0	674112.0	31335.0	42083.0	2757.0	500.0	150.0	301.0	15.0	34.0	696.0	18534.0	132197.0	5868.0	108052.0	56.0								
2007	60830.0	239192.0	149.49999999999997	125.91999999999997	12.905000000000001	7.0	246.0	46.0	129.0	67.0	422.0	26924.0	20828.0	2244.0	484.0	65.0	13308.0	2312.0	988004.0	82994.0	74754.0	204291.0	34336171.0	27515619.0	6820552.0	548834.0	817173.0	381423.0	3691379.0	191177.0	9108625.0	145300.0	42064.0	147468.0	1308635.0	1190647.0	2088.0	5241.0	5740.0	2301.0	85408.0	17210.0	66350.0	2634.0	7034.0	98265.0	79888.0	89.0	103.0	0.0	25.0	15550.0	2610.0	19934.0	100.0	1322.0	659530.0	36276.0	47249.0	3382.0	426.0	45.0	310.0	17.0	54.0	36070.0	25791.0	100548.0	8517.0	21596.0	58.0								
2008	71179.0	202953.0	159.70000000000002	139.15	10.934999999999999	5.8	263.0	45.0	142.0	72.0	423.0	28516.0	21992.0	2470.0	550.0	59.0	13278.0	2274.75	1128652.0	88995.0	105440.0	263626.0	19769296.3	12242324.8	7526971.5	410740.8	742667.0	386593.55	4413496.1	312958.0	10485355.05	137400.0	58033.0	199551.2	1486858.0	1349012.0	3168.0	5333.0	5692.0	2701.0	104457.0	16495.0	103994.0	2899.0	8026.0	95249.0	80055.0	83.0	269.0	2.0	1.0	13051.0	1857.0	16095.0	121.0	1477.0	778930.0	52377.0	57121.0	4137.0	408.0	125.0	259.0	20.0	4.0	56884.0	25018.0	187723.0	23674.0	38395.0	55.0								
2009	77027.0	155853.0	160.79999999999998	113.43999999999998	10.805	6.484999999999999	266.0	43.0	120.0	72.0	75.0	28912.0	22163.0	2449.0	517.0	63.0	12928.0	2345.25	1194623.0	92165.0	90581.0	276747.0	21258025.0	13423835.0	7834190.0	409351.0	751056.0	451423.0	4766860.0	696299.0	10310985.0	115000.0	59970.0	200275.8	1562916.0	1393147.0	6180.0	5496.0	5733.0	3202.0	115238.0	13898.0	74008.0	2694.0	2813.0	136925.0	111337.0	290.0	240.0	0.0	2.0	14365.0	7637.0	24648.0	119.0	1504.0	891875.0	66002.0	67058.0	5851.0	965.0	63.0	142.0	29.0	731.0	46438.0	25821.0	169609.0	21250.0	37093.0	55.0								
2010	97038.0	338852.0	201.33999999999997	160.58	25.0	8.58	333.0	69.0	156.0	100.0	85.0	32214.9	24878.0	2729.0	693.0	75.0	14446.0	2719.2	1693104.0	114294.0	86030.0	405219.0	25746032.7	16467555.8	9278476.9	796831.85	781478.0	424159.0	5374443.0	974107.0	10901364.0	100000.0	60000.0	275248.0	1980177.0	1820170.0	7363.0	5856.0	6115.0	3352.0	128012.0	24271.0	86474.0	2595.0	5202.0	120898.0	104819.0	1167.0	390.0	232.0	5.0	10863.0	3422.0	32487.0	128.0	1866.0	1224977.0	89860.0	83402.0	3916.0	4826.0	220.0	203.0	270.0	4133.0	51530.0	22065.0	768844.0	9751.0	24583.0	64.0								
2011	98836.0	386048.0	208.05000000000004	178.49	17.95	9.68	325.0	73.0	162.0	87.0	79.0	31899.7	24739.7	2715.0	744.0	89.0	13204.0	2464.0	1436501.0	103550.0	74561.0	412851.0	26491086.1	17150702.9	9340383.2	550047.0	903024.2	388106.0	5684917.0	1360395.0	11659713.0	118500.0	62069.0	312944.8	2005311.0	1829027.0	11526.0	5572.0	5977.0	3401.0	134973.0	14835.0	144461.0	2363.0	7169.0	142306.0	104328.0	4079.0	122.0	45.0	2.0	10651.0	23079.0	40963.0	90.0	1893.0	1231113.0	90847.0	89151.0	4155.0	4870.0	242.0	186.0	265.0	4177.0	46569.0	22469.0	1089416.0	9901.0	24522.0	58.0								
2012	107240.0	486306.0	215.39999999999998	186.44	13.64	12.490000000000002	360.0	80.0	164.0	111.0	88.0	33600.0	26420.0	2841.0	763.0	83.0	14028.0	2622.8	1527366.0	111883.0	58076.0	470398.0	28001583.0	18386767.0	9614816.0	649027.0	819874.0	303281.0	5962419.0	1468060.0	16343634.0	123500.0	30000.0	357498.0	2420198.0	1927085.0	9263.0	5621.0	6832.0	3452.0	127307.0	340638.0	205573.0	4997.0	12888.0	334662.0	105831.0	481.0	564.0	248.0	2.0	24347.0	203189.0	37723.0	126.0	2302.0	1201842.0	110007.0	101730.0	6540.0	4850.0	238.0	191.0	281.0	4140.0	63759.0	27944.0	1225193.0	11250.0	27287.0	62.0								
2013	107159.0	535289.0	205.00000000000006	180.10499999999996	13.889999999999999	10.8	347.0	79.0	161.0	107.0	78.0	29095.0	23788.0	2939.0	772.0	72.0	12777.0	2490.75	1561701.0	160657.0	43995.0	480326.0	28083517.1	17819977.0	10263540.1	956020.0	838684.1	573240.0	5861881.0	1486578.0	14795533.0	118500.0	25617.0	414018.7	2142265.0	1970441.0	14443.0	5107.0	6253.0	3456.0	136209.0	6356.0	240450.0	3469.0	175157.1	123665.0	109583.0	616.0	207.0	1.0	5.0	12066.0	1547.0	53765.0	125.0	2334.0	1394585.0	102560.0	102184.0	4889.0	5404.0	642.0	34.0	250.0	4478.0	51778.0	10943.0	1211574.0	18842.0	30424.0	57.0								
2014	112873.0	750941.0	214.24000000000004	192.4	12.04	9.799999999999999	348.0	85.0	161.0	99.0	74.0	31363.0	26960.0	3316.0	999.0	88.0	13126.5	2574.5	1744894.0	146019.0	63370.0	344401.0	28071668.0	17295281.0	10776387.0	1180043.0	851117.0	698232.0	6002873.0	1793074.0	15064947.0	115000.0	15000.0	518268.0	2254128.0	2060092.0	15429.0	5284.0	6268.0	1855.0	153471.0	11729.0	373964.0	2603.0	203391.0	119063.0	101106.0	522.0	236.0	9.0	3.0	13361.0	3826.0	54803.0	189.0	2397.0	1461881.0	99191.0	108867.0	4820.0	4597.0	407.0	15.0	150.0	4025.0	38977.0	8559.0	1087741.0	132080.0	31705.0	59.0								
2015	112169.0	671865.0	223.66000000000003	198.75	14.16	9.8	389.0	84.0	171.0	132.0	72.0	35477.0	30304.0	3841.0	831.0		13419.0	2737.3	1862551.0	165029.0	42618.0	376208.0	32194744.0	18254319.0	13940425.0	1084110.0	3465820.0	744380.0	6480632.0	2232055.0	16419066.0	131000.0	10000.0	457750.0	2213003.0	2011397.0	8252.0	4852.0	1328.0	1354.0	157451.0	28369.0	1759074.0			118166.0	99077.0	220.0	145.0	73.0	2.0	11762.0	6887.0	62239.0	167.0	2184.0	1426575.0	108278.0	110765.0	4874.0	5977.0	148.0	18.0	179.0	5632.0	60841.0	7731.0	673067.0			61.0	4.0	1241514.0	4220.0	2604955.0	36508224.0	159920.0	2067.0	28046.0
2016	112576.0	583404.0	223.29000000000005	195.69000000000003	17.05	10.45	386.0	78.0	178.0	130.0	71.0	35506.0	30373.0	3907.0	833.0		13662.5	2715.6	1799079.0	158076.0	75122.0	418549.0	30993919.0	18530406.0	12463513.0	1333030.0	3390257.0	611555.0	5168152.0	2201836.0	18514889.0	47000.0	10000.0	482605.0	2276916.0	2060244.0	8629.0	4962.0	1118.0	1354.0	174183.0	29568.0	2771200.0			109711.0	96333.0	418.0	320.0	0.0	0.0	9422.0	2318.0	48956.0	264.0	2208.0	1607439.0	121141.0	114317.0	3504.0	5109.0	151.0	16.0	125.0	4817.0	56599.0	7118.0	662776.0			60.0	20.0	1641916.0	4209.0	2677140.0	51428691.0	329007.0	2317.0	31170.0
