Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2003	1123.0		2.274090909090909	2.2063636363636365	0.06818181818181818	0.0	4.7272727272727275	0.45454545454545453	2.0	2.272727272727273	1.1818181818181819	333.6363636363636	255.54545454545453	36.18181818181818	6.818181818181818	1.4	202.0	35.90909090909091					532546.94875	285834.275	222633.4877777778		86068.42857142857	24500.571428571428	105275.1	7857.142857142857	485412.79142857145	19500.0	0.0	6458.004545454546	27941.1	25559.333333333332	0.0	132.7	50.0	100.0	1635.2	60.888888888888886	1624.9	24.22222222222222	13.9	2045.7	1927.875	0.0	33.36363636363637	0.9090909090909091	0.0	212.375	13.777777777777779	143.66666666666666	0.4	26.4	10397.454545454546	64.0	977.5	126.66666666666667	0.9090909090909091	0.0	0.45454545454545453	0.45454545454545453		0.0	599.4285714285714	12060.25	112.5	0.0	11.0								
2004	1336.0		3.024545454545455	2.82	0.20454545454545456	0.0	5.7272727272727275	0.8181818181818182	2.272727272727273	2.6363636363636362	1.2727272727272727	356.3636363636364	272.8181818181818	31.09090909090909	6.818181818181818	1.2727272727272727	216.0	35.13636363636363					551994.6522222222	306080.56666666665	245914.08555555556		75777.33125	26832.83125	112645.10909090909	8816.166666666666	567439.11	15000.0	0.0	9246.554545454546	28221.545454545456	25942.545454545456	0.0	109.18181818181819	50.0	102.0	1841.090909090909	109.6	1902.7	41.3	30.88888888888889	3114.181818181818	2738.875	0.0	0.25	0.0	0.0	399.0	48.111111111111114	219.0	0.6	23.90909090909091	10344.636363636364	125.28571428571429	843.5555555555555	14.285714285714286	4.285714285714286	0.1111111111111111	0.5555555555555556	0.625	2.375	4.125		24032.333333333332	4000.0	0.0	11.0								
2005	1232.2307692307693	12423.0	2.897317073170732	2.24525	0.135675	0.06487179487179488	4.609756097560975	0.875	1.9	1.125	1.325	442.60512820512815	340.07837837837843	48.0	9.875	1.368421052631579	230.0	40.53536585365854	13371.818181818182	1222.7666666666667	2519.8	3031.9	379408.5007317073	269408.82999999996	117953.95825		63362.63153846154	23930.31875	50474.97184210526	2738.7096774193546	543638.9053333333	6666.666666666667	0.0	13194.106	24149.35	19708.783783783783	78.25	65.92105263157895	152.26315789473685	60.0	1136.0	198.27027027027026	708.9473684210526	32.77142857142857	44.78947368421053	1937.6052631578948	1765.0	0.8108108108108109	5.27027027027027	16.86842105263158	0.5405405405405406	142.61111111111111	7.828571428571428	262.14285714285717	1.2820512820512822	23.0	12038.666666666666	233.8235294117647	552.0555555555555	50.96875	4.129032258064516	3.085714285714286	0.1388888888888889	0.1388888888888889	0.29411764705882354	15.057142857142857	193.33333333333334	14935.666666666666	227.7	9.444444444444445	42.0								
2006	1333.142857142857	21723.764705882353	2.9098214285714277	2.693529411764706	0.22893617021276597	0.16	4.625	1.12	2.4038461538461537	1.5	7.509090909090909	516.0603773584905	409.78749999999997	41.30909090909091	9.472727272727273	1.2830188679245282	241.54545454545453	42.41818181818182	18045.44230769231	1205.8541666666667	2058.177777777778	4618.106382978724	368192.43392857147	428637.19516129035	130911.11964285714	81477.12173913044	65214.36944444444	24079.429545454543	105851.61212121212	4630.714285714285	338466.0356	5120.0	2362.269230769231	7051.102702702702	25796.696428571428	19624.703703703704	269.13461538461536	99.6	682.2	42.30769230769231	1124.4444444444443	5073.132075471698	1084.0227272727273	58.225	42.5	1886.5892857142858	1351.0925925925926	35.73076923076923	12.127659574468085	252.8125	0.7115384615384616	182.8679245283019	171.3877551020408	364.22727272727275	2.0925925925925926	28.38888888888889	12719.094339622641	652.8125	858.8367346938776	64.11627906976744	8.928571428571429	3.061224489795918	6.142857142857143	0.3409090909090909	0.7391304347826086	15.818181818181818	514.8333333333334	11016.416666666666	489.0	9822.90909090909	56.0								
2007	1192.7450980392157	14070.117647058823	2.6696428571428568	2.375849056603773	0.2530392156862745	0.14	4.315789473684211	0.8846153846153846	2.388888888888889	1.2884615384615385	7.4035087719298245	489.5272727272727	385.7037037037037	39.36842105263158	8.491228070175438	1.1607142857142858	233.47368421052633	40.56140350877193	18296.37037037037	1627.3333333333333	1495.08	4169.2040816326535	592002.948275862	1100624.76	117595.72413793103	32284.352941176472	62859.46153846154	21190.166666666668	108569.9705882353	10620.944444444445	414028.4090909091	6604.545454545455	1828.8695652173913	4757.032258064516	22562.672413793105	20888.543859649122	39.39622641509434	102.76470588235294	112.54901960784314	42.611111111111114	1525.142857142857	324.7169811320755	1474.4444444444443	64.2439024390244	175.85	1694.2241379310344	1452.509090909091	1.78	2.1458333333333335	0.0	0.49019607843137253	299.03846153846155	54.375	486.1951219512195	1.7857142857142858	23.19298245614035	11991.454545454546	725.52	964.265306122449	78.65116279069767	7.344827586206897	0.9183673469387755	6.326530612244898	0.38636363636363635	1.2	858.8095238095239	678.7105263157895	11172.0	774.2727272727273	2159.6	58.0								
2008	1395.6666666666667	16912.75	2.9574074074074077	2.6759615384615385	0.2102884615384615	0.11372549019607843	4.87037037037037	0.8653846153846154	2.730769230769231	1.3846153846153846	7.833333333333333	548.3846153846154	431.2156862745098	45.74074074074074	10.185185185185185	1.1132075471698113	245.88888888888889	42.125	21704.846153846152	1854.0625	2292.1739130434785	5609.063829787234	359441.7509090909	532274.9913043479	136854.02727272728	21617.936842105264	49511.13333333333	20347.02894736842	119283.67837837836	16471.473684210527	524267.75250000006	6245.454545454545	2523.1739130434785	6047.006060606061	27534.40740740741	24981.703703703704	60.92307692307692	111.10416666666667	118.58333333333333	52.96078431372549	1970.8867924528302	329.9	2666.5128205128203	76.28947368421052	186.65116279069767	1763.8703703703704	1482.5	1.66	5.723404255319149	0.0425531914893617	0.02040816326530612	261.02	38.6875	374.30232558139534	2.2830188679245285	28.96078431372549	14696.792452830188	1027.0	1215.340425531915	98.5	7.555555555555555	2.6595744680851063	5.630434782608695	0.5263157894736842	0.10526315789473684	1625.2571428571428	694.9444444444445	17065.727272727272	3382.0	4799.375	55.0								
2009	1510.3333333333333	14168.454545454546	3.033962264150943	2.2687999999999997	0.2161	0.12969999999999998	4.925925925925926	0.86	2.4	1.44	1.3636363636363635	525.6727272727272	410.4259259259259	44.527272727272724	9.4	1.1454545454545455	235.05454545454546	42.64090909090909	21720.418181818182	1772.4038461538462	1776.0980392156862	5426.411764705882	386509.54545454547	516301.3461538461	145077.59259259258	15744.26923076923	39529.26315789474	18056.92	119171.5	26780.73076923077	396576.3461538461	3833.3333333333335	1874.0625	6068.963636363636	28416.654545454545	25329.945454545454	116.60377358490567	107.76470588235294	112.41176470588235	60.41509433962264	2134.037037037037	272.5098039215686	1947.578947368421	72.8108108108108	65.4186046511628	2489.5454545454545	2061.796296296296	5.576923076923077	4.705882352941177	0.0	0.0392156862745098	271.0377358490566	155.85714285714286	547.7333333333333	2.2037037037037037	27.345454545454544	16516.203703703704	1269.2692307692307	1368.530612244898	132.97727272727272	17.545454545454547	1.3695652173913044	3.1555555555555554	0.7073170731707317	17.829268292682926	1326.8	782.4545454545455	14134.083333333334	2656.25	4121.444444444444	55.0								
2010	1673.0689655172414	16135.809523809523	3.2474193548387094	2.8171929824561404	0.45454545454545453	0.156	5.285714285714286	1.1694915254237288	2.6440677966101696	1.694915254237288	1.3492063492063493	511.34761904761905	401.258064516129	43.317460317460316	11.0	1.1904761904761905	229.3015873015873	43.16190476190476	26874.666666666668	1937.1864406779662	1483.2758620689656	6986.5344827586205	402281.7609375	514611.11875	144976.2015625	26561.061666666665	35521.72727272727	15709.592592592593	111967.5625	34789.53571428572	311467.54285714286	2941.176470588235	1714.2857142857142	6401.116279069767	31938.33870967742	28891.5873015873	124.79661016949153	99.2542372881356	105.43103448275862	56.813559322033896	2098.55737704918	418.4655172413793	2058.904761904762	64.875	106.16326530612245	1919.015873015873	1776.593220338983	20.120689655172413	6.842105263157895	4.0701754385964914	0.08620689655172414	187.29310344827587	63.370370370370374	612.9622641509434	2.1333333333333333	30.096774193548388	19757.6935483871	1523.050847457627	1489.3214285714287	81.58333333333333	76.60317460317461	4.0	3.759259259259259	5.625	89.84782608695652	1256.8292682926829	648.9705882352941	69894.90909090909	1393.0	2731.4444444444443	64.0								
2011	1830.2962962962963	21447.11111111111	3.650000000000001	3.2452727272727273	0.32636363636363636	0.176	5.701754385964913	1.3272727272727274	2.9454545454545453	1.5818181818181818	1.3859649122807018	559.6438596491229	434.02982456140353	47.63157894736842	13.052631578947368	1.5892857142857142	231.64912280701753	43.228070175438596	25651.803571428572	2157.2916666666665	1553.3541666666667	8257.02	456742.8637931035	591403.548275862	161041.0896551724	21155.653846153848	47527.58947368421	18481.238095238095	138656.51219512196	48585.53571428572	388657.1	3950.0	1939.65625	7451.066666666667	35180.89473684211	32088.19298245614	213.44444444444446	105.13207547169812	112.77358490566037	62.98148148148148	2410.2321428571427	269.72727272727275	3523.439024390244	56.26190476190476	155.84782608695653	2496.59649122807	1863.0	78.4423076923077	2.3461538461538463	0.8823529411764706	0.038461538461538464	197.24074074074073	461.58	871.5531914893617	1.6363636363636365	34.41818181818182	22383.872727272726	1747.0576923076924	1748.0588235294117	86.5625	85.43859649122807	4.84	3.795918367346939	6.0227272727272725	90.80434782608695	1164.225	641.9714285714285	72627.73333333334	1414.4285714285713	2724.6666666666665	58.0								
2012	1881.4035087719299	25595.052631578947	3.531147540983606	3.16	0.24357142857142858	0.21912280701754389	5.901639344262295	1.3559322033898304	2.7796610169491527	1.88135593220339	1.4426229508196722	550.8196721311475	433.11475409836066	46.57377049180328	12.508196721311476	1.3833333333333333	229.9672131147541	42.99672131147541	25456.1	2111.0	1095.7735849056603	8552.690909090908	451638.43548387097	574586.46875	155077.67741935485	19667.484848484848	102484.25	16848.944444444445	129617.80434782608	52430.71428571428	495261.63636363635	3742.4242424242425	909.0909090909091	8511.857142857143	39675.37704918033	32118.083333333332	162.50877192982455	100.375	122.0	59.51724137931034	2157.7457627118642	5976.105263157895	4780.767441860465	116.20930232558139	286.4	5486.262295081967	1793.7457627118645	8.43859649122807	10.071428571428571	4.509090909090909	0.03508771929824561	427.140350877193	3833.754716981132	754.46	2.1724137931034484	39.016949152542374	20030.7	1896.6724137931035	1816.607142857143	130.8	79.50819672131148	4.490566037735849	3.673076923076923	6.108695652173913	86.25	1518.0714285714287	698.6	72070.17647058824	1607.142857142857	2480.6363636363635	62.0								
2013	2021.867924528302	29738.277777777777	3.660714285714287	3.2161607142857136	0.2572222222222222	0.2	6.196428571428571	1.4107142857142858	2.875	1.9454545454545455	1.3928571428571428	519.5535714285714	424.7857142857143	52.482142857142854	13.785714285714286	1.309090909090909	228.16071428571428	44.47767857142857	28394.563636363637	3150.1372549019607	897.8571428571429	9606.52	492693.2824561404	556874.28125	180062.10701754387	32966.206896551725	104835.5125	23885.0	133224.56818181818	57176.07692307692	493184.43333333335	3822.5806451612902	826.3548387096774	10098.017073170731	38254.732142857145	35186.44642857143	267.462962962963	98.21153846153847	120.25	64.0	2569.9811320754716	124.62745098039215	5725.0	96.36111111111111	4272.124390243903	2208.3035714285716	1992.418181818182	11.622641509433961	3.980769230769231	0.019230769230769232	0.09433962264150944	223.44444444444446	31.571428571428573	1194.7777777777778	2.358490566037736	44.0377358490566	25356.090909090908	2010.9803921568628	2043.68	108.64444444444445	96.5	12.588235294117647	0.68	5.681818181818182	97.34782608695652	1262.878048780488	321.8529411764706	75723.375	2093.5555555555557	4346.285714285715	57.0								
2014	2015.5892857142858	34133.681818181816	3.6937931034482765	3.317241379310345	0.215	0.175	6.0	1.4655172413793103	2.7758620689655173	1.706896551724138	1.2758620689655173	550.2280701754386	472.9824561403509	58.175438596491226	17.526315789473685	1.543859649122807	230.28947368421052	45.973214285714285	31158.821428571428	2863.1176470588234	1218.6538461538462	6498.132075471698	610253.6521739131	557912.2903225806	234269.28260869565	39334.76666666667	106389.625	24936.85714285714	130497.23913043478	52737.470588235294	502164.9	3709.6774193548385	428.57142857142856	12339.714285714286	40252.28571428572	36787.357142857145	308.58	101.61538461538461	120.53846153846153	35.0	2790.3818181818183	229.98039215686273	9121.073170731708	66.74358974358974	5084.775	2088.8245614035086	1805.4642857142858	9.849056603773585	4.538461538461538	0.17307692307692307	0.05660377358490566	242.92727272727274	73.57692307692308	1245.5227272727273	3.5	43.58181818181818	26105.01785714286	1836.8703703703704	2093.596153846154	107.11111111111111	79.25862068965517	8.14	0.3	3.3333333333333335	89.44444444444444	950.6585365853658	276.0967741935484	63984.76470588235	16510.0	3522.777777777778	59.0								
2015	2003.017857142857	37325.833333333336	3.727666666666667	3.3125	0.24413793103448275	0.16610169491525426	6.483333333333333	1.4	2.85	2.23728813559322	1.2	601.3050847457627	513.6271186440678	64.01666666666667	13.85		231.36206896551724	45.62166666666667	32676.333333333332	3056.0925925925926	789.2222222222222	7234.7692307692305	643894.88	676085.8888888889	278808.5	37383.10344827586	385091.1111111111	25668.275862068964	132257.79591836734	57232.179487179485	529647.2903225806	4851.851851851852	333.3333333333333	11443.75	36883.38333333333	34091.47457627119	155.69811320754718	91.54716981132076	25.056603773584907	25.547169811320753	2762.2982456140353	567.38	34491.64705882353			1969.4333333333334	1679.2711864406779	4.150943396226415	2.7884615384615383	1.4038461538461537	0.03773584905660377	202.79310344827587	135.0392156862745	1414.5227272727273	3.036363636363636	37.6551724137931	23776.25	1866.8620689655172	2013.909090909091	101.54166666666667	99.61666666666666	2.9019607843137254	0.34615384615384615	3.6530612244897958	110.43137254901961	1352.0222222222221	220.88571428571427	29263.782608695652			61.0	0.08695652173913043	24830.28	72.75862068965517	44151.779661016946	663785.8909090909	4997.5	55.86486486486486	738.0526315789474
2016	1975.017543859649	41671.71428571428	3.7845762711864417	3.3167796610169495	0.30446428571428574	0.18333333333333332	6.5423728813559325	1.3220338983050848	3.016949152542373	2.2413793103448274	1.2033898305084745	601.7966101694915	514.7966101694915	66.22033898305085	14.11864406779661		235.56034482758622	46.0271186440678	31562.78947368421	2927.3333333333335	1417.3962264150944	8049.0192307692305	968559.96875	741216.24	389484.78125	53321.2	423782.125	25481.458333333332	166714.5806451613	78637.0	771453.7083333334	1740.7407407407406	322.5806451612903	12065.125	38591.79661016949	35521.44827586207	159.7962962962963	93.62264150943396	21.5	24.618181818181817	3055.842105263158	568.6153846153846	46969.49152542373			1859.5084745762713	1720.232142857143	7.886792452830188	6.2745098039215685	0.0	0.0	162.44827586206895	44.57692307692308	1087.911111111111	4.714285714285714	38.73684210526316	27244.728813559323	2163.2321428571427	2078.490909090909	71.51020408163265	86.59322033898304	2.9607843137254903	0.3076923076923077	2.450980392156863	94.45098039215686	1257.7555555555555	209.35294117647058	33138.8			60.0	0.39215686274509803	28308.896551724138	71.33898305084746	46157.58620689655	886701.5689655172	10281.46875	56.51219512195122	779.25
