Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2003	11.0	0.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	10.0	11.0	11.0	0.0	0.0	0.0	0.0	8.0	8.0	9.0	0.0	7.0	7.0	10.0	7.0	7.0	7.0	9.0	11.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	9.0	10.0	10.0	8.0	10.0	11.0	11.0	10.0	8.0	9.0	9.0	10.0	10.0	11.0	9.0	10.0	9.0	11.0	11.0	11.0	11.0	0.0	6.0	7.0	4.0	4.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2004	10.0	0.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	10.0	11.0	0.0	0.0	0.0	0.0	9.0	9.0	9.0	0.0	8.0	8.0	11.0	6.0	7.0	7.0	8.0	11.0	11.0	11.0	9.0	11.0	10.0	10.0	11.0	10.0	10.0	10.0	9.0	11.0	8.0	7.0	8.0	8.0	8.0	9.0	9.0	7.0	10.0	11.0	11.0	7.0	9.0	7.0	7.0	9.0	9.0	8.0	8.0	8.0	0.0	3.0	3.0	2.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2005	39.0	1.0	41.0	40.0	40.0	39.0	41.0	40.0	40.0	40.0	40.0	39.0	37.0	40.0	40.0	38.0	41.0	41.0	33.0	30.0	30.0	30.0	41.0	40.0	40.0	0.0	13.0	16.0	38.0	31.0	15.0	15.0	37.0	30.0	40.0	37.0	36.0	38.0	38.0	37.0	37.0	37.0	38.0	35.0	38.0	38.0	39.0	37.0	37.0	38.0	37.0	36.0	35.0	28.0	39.0	40.0	39.0	34.0	36.0	32.0	31.0	35.0	36.0	36.0	34.0	35.0	21.0	12.0	10.0	9.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2006	49.0	17.0	56.0	51.0	47.0	45.0	56.0	50.0	52.0	50.0	55.0	53.0	52.0	55.0	55.0	53.0	55.0	55.0	52.0	48.0	45.0	47.0	56.0	31.0	56.0	23.0	18.0	22.0	33.0	21.0	25.0	25.0	26.0	37.0	56.0	54.0	52.0	50.0	50.0	52.0	54.0	53.0	44.0	40.0	44.0	56.0	54.0	52.0	47.0	48.0	52.0	53.0	49.0	44.0	54.0	54.0	53.0	48.0	49.0	43.0	56.0	49.0	49.0	44.0	46.0	44.0	36.0	12.0	12.0	11.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2007	51.0	17.0	56.0	53.0	51.0	50.0	57.0	52.0	54.0	52.0	57.0	55.0	54.0	57.0	57.0	56.0	57.0	57.0	54.0	51.0	50.0	49.0	58.0	25.0	58.0	17.0	13.0	18.0	34.0	18.0	22.0	22.0	23.0	31.0	58.0	57.0	53.0	51.0	51.0	54.0	56.0	53.0	45.0	41.0	40.0	58.0	55.0	50.0	48.0	48.0	51.0	52.0	48.0	41.0	56.0	57.0	55.0	50.0	49.0	43.0	58.0	49.0	49.0	44.0	45.0	42.0	38.0	9.0	11.0	10.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2008	51.0	12.0	54.0	52.0	52.0	51.0	54.0	52.0	52.0	52.0	54.0	52.0	51.0	54.0	54.0	53.0	54.0	54.0	52.0	48.0	46.0	47.0	55.0	23.0	55.0	19.0	15.0	19.0	37.0	19.0	20.0	22.0	23.0	33.0	54.0	54.0	52.0	48.0	48.0	51.0	53.0	50.0	39.0	38.0	43.0	54.0	54.0	50.0	47.0	47.0	49.0	50.0	48.0	43.0	53.0	51.0	53.0	51.0	47.0	42.0	54.0	47.0	46.0	38.0	38.0	35.0	36.0	11.0	7.0	8.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2009	51.0	11.0	53.0	50.0	50.0	50.0	54.0	50.0	50.0	50.0	55.0	55.0	54.0	55.0	55.0	55.0	55.0	55.0	55.0	52.0	51.0	51.0	55.0	26.0	54.0	26.0	19.0	25.0	40.0	26.0	26.0	30.0	32.0	33.0	55.0	55.0	53.0	51.0	51.0	53.0	54.0	51.0	38.0	37.0	43.0	55.0	54.0	52.0	51.0	49.0	51.0	53.0	49.0	45.0	54.0	55.0	54.0	52.0	49.0	44.0	55.0	46.0	45.0	41.0	41.0	35.0	33.0	12.0	8.0	9.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010	58.0	21.0	62.0	57.0	55.0	55.0	63.0	59.0	59.0	59.0	63.0	63.0	62.0	63.0	63.0	63.0	63.0	63.0	63.0	59.0	58.0	58.0	64.0	32.0	64.0	30.0	22.0	27.0	48.0	28.0	35.0	34.0	35.0	43.0	62.0	63.0	59.0	59.0	58.0	59.0	61.0	58.0	42.0	40.0	49.0	63.0	59.0	58.0	57.0	57.0	58.0	58.0	54.0	53.0	60.0	62.0	62.0	59.0	56.0	48.0	63.0	55.0	54.0	48.0	46.0	41.0	34.0	11.0	7.0	9.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011	54.0	18.0	57.0	55.0	55.0	55.0	57.0	55.0	55.0	55.0	57.0	57.0	57.0	57.0	57.0	56.0	57.0	57.0	56.0	48.0	48.0	50.0	58.0	29.0	58.0	26.0	19.0	21.0	41.0	28.0	30.0	30.0	32.0	42.0	57.0	57.0	54.0	53.0	53.0	54.0	56.0	55.0	41.0	42.0	46.0	57.0	56.0	52.0	52.0	51.0	52.0	54.0	50.0	47.0	55.0	55.0	55.0	52.0	51.0	48.0	57.0	50.0	49.0	44.0	46.0	40.0	35.0	15.0	7.0	9.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012	57.0	19.0	61.0	59.0	56.0	57.0	61.0	59.0	59.0	59.0	61.0	61.0	61.0	61.0	61.0	60.0	61.0	61.0	60.0	53.0	53.0	55.0	62.0	32.0	62.0	33.0	8.0	18.0	46.0	28.0	33.0	33.0	33.0	42.0	61.0	60.0	57.0	56.0	56.0	58.0	59.0	57.0	43.0	43.0	45.0	61.0	59.0	57.0	56.0	55.0	57.0	57.0	53.0	50.0	58.0	59.0	60.0	58.0	56.0	50.0	61.0	53.0	52.0	46.0	48.0	42.0	40.0	17.0	7.0	11.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
