Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	CB1	CD1	CD2	CG1	CG11	CG12	CG13	CG14	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2008	317765.0	1116486.0	316.2310000000001	0.0	0.0	0.0	1848.0	0.0	0.0	0.0	0.0	175908.75	55929.25	9727245.0	7185137.0	2000.0	2320130.0	219978.0	390.0	59690.0	0.0	5588.5	454.5	0.0	71173.0	3902.6	0.0	0.0	0.0	0.0	29225221.0	16361584.610000001	12834961.200000001	2125713.58	3599199.0999999996	899958.35	6234853.619999999	0.0	18717501.63	2378746.9	573945.25	3290891.15	3588044.0	3023867.0	0.0	3215.0	3825.0	0.0	502019.0	55118.0	0.0	0.0	47770.0	317879.0	245717.0	0.0	196.0	168.0	0.0	66320.0	5508.0	255202.0	2771.0	3970.0	10263348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	402.0								
2009	308344.0	1109587.0	317.39199999999994	0.0	0.0	0.0	1777.0	0.0	0.0	0.0	200138.0	167737.25	51260.0	9960357.0	7385841.0	2144.0	2399845.0	172527.0	391.0	59636.979999999996	0.0	5647.5	468.5	0.0	68321.0	3846.65	0.0	0.0	0.0	0.0	30108057.499999993	17144855.3	12963202.2	2202957.1500000004	3576499.8	981136.2000000001	6202608.7	0.0	19152794.3	2326045.0	421185.0	3181397.3	3562324.0	2969323.0	0.0	3380.0	3157.0	0.0	535830.0	50634.0	0.0	0.0	272371.0	321600.0	249611.0	0.0	942.0	435.0	0.0	65880.0	4732.0	269843.0	2775.0	4362.0	10225515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390.0								
2010	311114.0	1353180.0	304.5789999999998	0.0	0.0	0.0	1804.0	0.0	0.0	0.0	224567.0	173760.0	53661.2815	10702607.0	8040368.0	2053.0	2512747.0	147439.0	419.0	63866.06999999999	0.0	5972.5	499.5	0.0	72838.5	4062.4500000000003	0.0	0.0	0.0	0.0	32002551.8	18509048.75	13493503.200000001	2192555.0	3609622.6	1032244.7	6659080.600000001	0.0	21029809.9	2329820.3	426100.0	3402046.55	3791595.0	3122066.0	0.0	3184.0	2367.0	0.0	584076.0	79902.0	0.0	0.0	86862.0	348965.0	271751.0	0.0	329.0	695.0	0.0	72557.0	3633.0	298624.0	3544.0	6222.0	10772068.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0								
2011	384379.0	1573874.0	351.2333999999998	0.0	0.0	0.0	2145.0	0.0	0.0	0.0	239435.0	197826.0	62836.6	11714084.0	8865486.0	5729.0	2712265.0	130604.0	483.0	72490.06999999999	0.0	6834.5	548.5	0.0	82283.0	4803.250000000001	0.0	0.0	0.0	0.0	36263866.355000004	20852381.35	15411144.95	2642264.9000000004	4226111.8	1233078.7999999998	7309623.299999999	0.0	25759273.0	3080681.0	578970.0	3963256.05	4352880.0	3607212.0	0.0	13538.0	4163.0	0.0	680124.0	47843.0	0.0	0.0	57482.0	422460.0	328766.0	0.0	556.0	1589.0	0.0	87952.0	3597.0	364692.0	4836.0	8172.0	11781812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10617.0	0.0	465.0								
2012	356847.0	2453513.0	362.2863999999999	0.0	0.0	0.0	2157.0	0.0	0.0	0.0	243043.0	207355.5	66434.0	11743029.0	8964727.0	1628.0	2670552.0	126414.0	483.0	74330.0	0.0	6909.0	576.0	0.0	83737.0	4791.13	0.0	0.0	0.0	0.0	37360368.0	21773556.0	15586813.0	2730456.0	4281878.0	1280113.0	7294361.0	0.0	25120583.0	3198215.0	516178.0	4007500.0	4470950.0	3712531.0	0.0	4508.0	3475.0	0.0	707209.0	43227.0	0.0	0.0	21526.0	446687.0	354503.0	0.0	114.0	520.0	0.0	87535.0	4015.0	405304.0	5462.0	8154.0	11773414.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39816.0	0.0	468.0								
2013	355904.0	2746419.0	373.9560000000001	0.0	0.0	0.0	2208.0	0.0	0.0	0.0	247769.0	210168.0	70809.5	11912892.0	9079013.0	1476.0	2696369.0	138888.0	497.0	76376.7	0.0	6904.5	569.0	0.0	85843.5	4919.25	0.0	0.0	0.0	0.0	39686056.599999994	23126137.45	16559919.200000001	2836612.75	4729745.4	1509435.75	7484125.25	0.0	26631257.25	3119734.0	559071.0	4274030.35	4603001.0	3821079.0	0.0	4333.0	3480.0	0.0	723950.0	50159.0	0.0	0.0	67273.0	459228.0	366335.0	0.0	511.0	234.0	0.0	85680.0	6480.0	406328.0	5315.0	6341.0	11966329.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71004.0	0.0	482.0								
2014	356645.0	2805928.0	403.4660000000002	0.0	0.0	0.0	2471.0	0.0	0.0	0.0	241252.0	230516.75	74921.5	12310036.0	9510798.0	1276.0	2577364.0	130050.0	539.0	82355.0	0.0	7186.0	643.0	0.0	90338.0	5512.400000000001	0.0	0.0	0.0	0.0	42003316.0	24769136.0	17234180.0	3203625.0	4795755.0	1494105.0	7740696.0	0.0	27548796.0	3251908.0	562360.0	4275131.0	5002964.0	4199842.0	0.0	3937.0	5554.0	0.0	747040.0	49434.0	0.0	0.0	2420757.0	473340.0	385114.0	0.0	95.0	274.0	0.0	82641.0	3842.0	433451.0	5933.0	7730.0	12526494.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168680.0	0.0	521.0								
2015	365823.0	2935506.0	411.5059999999999	0.0	0.0	0.0	2539.0	0.0	0.0	0.0	272961.0	238071.58000000002	86084.3	13028248.0	10182207.0	1175.0	2691689.0	145876.0	548.0	83957.0	0.0	7247.0	652.0		92002.5	5828.800000000001	0.0	0.0	0.0	0.0	43455426.0	26103071.0	17352315.0	3061110.0	4882604.0	1618371.0	7785889.0	332298.0	30145853.0	4003638.0	593561.0	4353641.0	5180263.0	4351856.0	0.0	3550.0	4556.0	0.0	769710.0	53055.0	83872.0			495313.0	404277.0	0.0	94.0	122.0	0.0	85386.0	5433.0	456936.0	6169.0	8434.0	13205912.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			527.0	0.0	18461.0	198623.0	3527401.0	1447716.0	0.0	8181.0	61052.0
2016	337980.0	3105888.0	407.75500000000017	0.0	0.0	0.0	2513.0	0.0	0.0	0.0	240300.0	235264.89	85472.75	12897724.0	10109282.0	1095.0	2648550.0	133044.0	553.0	84350.0	0.0	7073.0	639.0		92576.5	5888.720000000001	0.0	0.0	0.0	0.0	43413662.0	26087353.0	17322825.0	2906660.0	5048223.0	1507500.0	7843450.0	298377.0	30623304.0	3908866.0	534243.0	4283897.0	5239162.0	4409910.0	0.0	3603.0	4534.0	0.0	772410.0	49414.0	160077.0			504041.0	417586.0	0.0	132.0	123.0	0.0	79082.0	7169.0	463359.0	6673.0	8846.0	13022255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			527.0	0.0	58966.0	163111.0	3822119.0	1841141.0	0.0	9413.0	66218.0
2017	348666.0	3251049.0	424.6410000000003	0.0	0.0	0.0	2501.0	0.0	0.0	0.0	241653.0	243021.98	94885.05	12928271.0	9884682.0	974.0	2446640.0	126664.0	564.0	86832.0	0.0	7127.0	663.0		93489.0	6196.370000000001	0.0	0.0	0.0	0.0	44541426.0	27072789.0	17468637.0	2937032.0	5016630.0	1546047.0	7968928.0	355164.0	30880778.0	3740539.0	582292.0	4236844.0	5389662.0	4558308.0	0.0	3407.0	4515.0	0.0	774209.0	51931.0	60644.0			517705.0	432194.0	0.0	609.0	102.0	0.0	76087.0	7640.0	466511.0	7234.0	9652.0	12919711.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			530.0	0.0	60329.0	177657.0	4029802.0	1867563.0	0.0	10816.0	84043.0
