Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	CB1	CD1	CD2	CG1	CG11	CG12	CG13	CG14	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2008	825.3636363636364	6379.92	0.9061060171919774				4.631578947368421					451.0480769230769	155.35902777777778	24197.126865671642	18908.255263157895	6.079027355623101	6270.621621621622	650.8224852071006	1.0209424083769634	155.8485639686684		14.256377551020408	1.1805194805194805		177.04726368159203	9.707960199004974					72699.55472636817	42169.0325	31927.76417910448	5776.395597826087	12411.031379310343	2593.5399135446687	16110.732868217052		53174.72053977272	6975.797360703812	1827.8511146496814	8822.764477211796	8925.482587064676	7597.655778894472		9.568452380952381	11.555891238670695		1297.2067183462532	160.69387755102042			261.0382513661202	790.7437810945273	634.9276485788114		0.5921450151057401	0.5106382978723404		174.9868073878628	16.344213649851632	664.5885416666666	7.015189873417722	10.700808625336927	26049.10659898477														402.0								
2009	820.063829787234	6413.797687861272	0.9173179190751444				4.5681233933161955				613.920245398773	434.55246113989637	142.38888888888889	25539.376923076925	19334.66230366492	6.1257142857142854	6416.697860962567	485.99154929577463	1.026246719160105	159.03194666666667		14.70703125	1.223237597911227		175.18205128205128	9.863205128205129					77200.14743589742	44764.63524804178	33238.979999999996	6019.008606557378	12505.244055944055	2819.3568965517243	16237.19554973822		54566.36552706553	6589.362606232295	1227.9446064139943	8598.37108108108	9134.164102564102	7652.894329896907		9.575070821529746	8.96875		1410.078947368421	142.23033707865167			887.2019543973942	824.6153846153846	646.660621761658		2.6914285714285713	1.2428571428571429		174.74801061007958	13.405099150141643	710.1131578947368	7.170542635658915	11.53968253968254	26354.420103092783														390.0								
2010	789.6294416243654	6939.384615384615	0.832183060109289				4.454320987654321				606.9378378378378	431.16625310173697	140.84325853018373	26361.100985221674	20050.79301745636	5.548648648648649	6426.462915601023	397.40970350404314	1.0422885572139304	161.68625316455694		14.856965174129353	1.242537313432836		179.4051724137931	10.006034482758622					78824.01921182266	46622.28904282116	33235.22955665025	5739.67277486911	11422.856329113923	2812.6558583106266	16773.50277078086		56837.32405405405	6313.876151761517	1164.207650273224	8768.161211340206	9338.9039408867	7727.8861386138615		8.401055408970976	6.261904761904762		1460.19	206.46511627906978			236.03804347826087	859.5197044334975	682.7914572864322		0.8726790450928382	1.8484042553191489		184.1548223350254	9.585751978891821	757.9289340101523	8.729064039408867	15.712121212121213	26597.6987654321														406.0								
2011	856.0779510022272	8993.565714285714	0.7982577272727268				4.612903225806452				562.0539906103286	430.9934640522876	145.4550925925926	25245.870689655174	19356.95633187773	13.705741626794259	6136.346153846154	309.4881516587678	1.040948275862069	158.6215973741794		14.793290043290042	1.1872294372294372		176.952688172043	10.32956989247312					78154.88438577588	46441.829287305125	33213.674461206894	6159.125641025642	21452.344162436548	3153.6542199488485	16136.033774834435		60753.002358490565	7423.327710843373	1426.0344827586207	8986.975170068026	9361.032258064517	7774.163793103448		31.557109557109555	9.726635514018692		1484.9868995633187	110.4919168591224			138.84541062801932	908.516129032258	720.9780701754386		1.3175355450236967	3.765402843601896		194.58407079646017	8.443661971830986	810.4266666666666	10.490238611713666	18.20044543429844	25501.757575757576												34.80983606557377		465.0								
2012	777.4444444444445	11254.646788990825	0.8141267415730334				4.608974358974359				548.6297968397291	444.96888412017165	150.6439909297052	25091.94230769231	19320.532327586207	3.812646370023419	5882.273127753304	294.6713286713287	1.0342612419700214	161.58695652173913		14.82618025751073	1.2413793103448276		179.3083511777302	10.237457264957266					80172.4635193133	47853.96923076923	33448.09656652361	6219.717539863325	19641.642201834864	3026.271867612293	15857.30652173913		57352.92922374429	7455.04662004662	1246.806763285024	8925.389755011136	9553.311965811965	7949.745182012848		10.41108545034642	8.062645011600928		1530.7554112554112	99.14449541284404			51.49760765550239	954.4594017094017	762.3720430107527		0.26697892271662765	1.2177985948477752		191.1244541484716	9.31554524361949	883.0152505446623	11.721030042918455	17.764705882352942	25210.736616702354												111.21787709497207		468.0								
2013	752.4397463002114	10941.908366533864	0.8129478260869567				4.580912863070539				536.2965367965368	439.68200836820085	157.00554323725055	24766.927234927236	19073.556722689074	3.3698630136986303	5761.472222222223	307.95565410199555	1.0332640332640333	161.47293868921776		14.414405010438413	1.1953781512605042		178.09854771784234	10.20591286307054					82507.39417879417	48996.053919491525	34356.67883817427	6220.641995614035	19956.73164556962	3454.0863844393593	15856.197563559323		59444.77064732143	7171.8022988505745	1300.1651162790697	9251.147943722943	9549.79460580913	7927.54979253112		9.825396825396826	7.909090909090909		1524.1052631578948	110.72626931567329			153.59132420091325	952.7551867219917	769.6113445378152		1.1640091116173121	0.5342465753424658		183.862660944206	14.52914798206278	862.692144373673	11.096033402922755	13.349473684210526	24929.852083333335												178.40201005025125		482.0								
2014	711.8662674650699	10628.515151515152	0.8458406708595392				4.779497098646035				511.1271186440678	451.9936274509804	159.40744680851063	24818.620967741936	19291.679513184583	2.7799564270152506	5358.345114345115	278.4796573875803	1.0445736434108528	163.40277777777777		14.517171717171717	1.258317025440313		177.83070866141733	10.621194605009634					83505.59840954274	51175.90082644628	34262.783300198804	6744.473684210527	21700.24886877828	3241.0086767895878	15481.392		64366.345794392524	6933.705756929638	1230.54704595186	8925.116910229644	9867.779092702169	8283.712031558185		8.341101694915254	11.842217484008529		1494.08	103.63522012578616			5128.722457627118	944.7904191616766	778.0080808080808		0.2025586353944563	0.5867237687366167		169.34631147540983	8.10548523206751	908.7023060796646	11.610567514677104	15.36779324055666	24707.08875739645												390.462962962963		521.0								
2015	727.2823061630219	11422.20233463035	0.8380977596741342				4.826996197718631				571.0481171548117	460.48661508704066	183.94081196581197	26004.487025948103	20283.280876494024	2.5160599571734474	5607.685416666666	312.36830835117775	1.0458015267175573	164.29941291585126		14.071844660194175	1.2586872586872586		179.3421052631579	11.081368821292777					85206.71764705882	54155.748962655605	33957.56360078278	6298.580246913581	21895.08520179372	3495.401727861771	15540.696606786427	886.128	68203.28733031674	8703.560869565217	1304.5296703296704	8866.885947046843	10019.851063829787	8466.645914396888		7.457983193277311	9.611814345991561		1530.2385685884692	112.88297872340425	186.38222222222223			971.2019607843138	813.4346076458753		0.2	0.25902335456475584		175.69135802469137	11.510593220338983	944.0826446280992	11.886319845857418	17.038383838383837	25692.43579766537														527.0		42.43908045977012	469.5579196217494	7908.970852017937	3305.2876712328766		23.576368876080693	194.43312101910828
2016	669.2673267326733	11013.787234042553	0.8237474747474751				4.777566539923955				510.1910828025478	461.303705882353	184.60637149028076	25489.573122529644	19861.064833005894	2.319915254237288	5405.2040816326535	281.276955602537	1.0533333333333332	165.3921568627451		14.464212678936605	1.2383720930232558		180.8134765625	11.216609523809526					84792.30859375	54348.652083333334	33767.69005847953	6042.952182952183	22141.32894736842	3214.285714285714	15500.889328063242	717.2524038461538	69916.21917808219	8370.162740899357	1176.7466960352424	8742.64693877551	10094.724470134875	8529.806576402321		7.53765690376569	9.525210084033613		1520.492125984252	102.51867219917013	347.23861171366593			982.5360623781677	830.1908548707753		0.27672955974842767	0.2578616352201258		161.39183673469387	15.029350104821804	969.3702928870293	12.808061420345489	17.48221343873518	25483.86497064579														527.0		126.26552462526766	379.3279069767442	8272.984848484848	3993.7982646420824		22.73671497584541	179.45257452574526
2017	685.0019646365422	11171.98969072165	0.854408450704226				4.718867924528302				511.97669491525426	471.88733980582526	204.935313174946	24909.9633911368	19729.904191616766	2.076759061833689	5034.238683127572	267.2236286919831	1.0702087286527515	168.93385214007782		14.28256513026052	1.262857142857143		181.18023255813952	11.713364839319473					86994.97265625	55820.18350515464	34118.431640625	6080.811594202899	22699.68325791855	3324.8322580645163	15594.771037181996	829.8224299065421	72660.65411764706	8113.967462039045	1288.2566371681417	8646.620408163266	10285.614503816794	8715.694072657743		7.097916666666666	9.386694386694387		1524.033464566929	107.07422680412371	129.3049040511727			1013.1213307240705	859.2326043737575		1.2875264270613107	0.21518987341772153		156.880412371134	16.220806794055203	959.8991769547325	13.965250965250965	19.34268537074148	24989.769825918764														530.0		128.90811965811966	404.6856492027335	8574.046808510639	3990.519230769231		25.813842482100238	227.75880758807588
2018	699.5282651072125	11703.19512195122	0.872491967871486				4.71455223880597				529.2755741127348	567.9729389312977	212.36603375527426	25009.553875236295	19627.02544031311	1.74375	4668.468812877263	272.5782881002088	1.0712945590994372	170.48554913294797		13.840690978886757	1.2481203007518797		179.79063097514342	11.702373831775704					89429.43186180422	57995.21906693712	34551.03838771593	6649.321063394683	21827.129310344826	3620.9575371549895	15376.123314065511	881.5	73355.35079726651	7815.9217758985205	1014.3562231759656	8661.226907630522	10379.430188679245	8802.49146110057		6.927272727272728	11.830645161290322		1532.8656429942419	108.15976331360947	170.2172131147541			943.3498098859316	806.2543352601156		0.23373983739837398	2.716024340770791		138.12079207920792	13.123983739837398	904.0625	15.034026465028356	20.80859375	25162.180952380953														537.0		158.6701030927835	157.852422907489	9782.83193277311	3991.676288659794		26.82648401826484	253.11586901763224
2003																																																																																							
2004																																																																																							
2005																																																																																							
2006																																																																																							
2007																																																																																							
