Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	CB1	CD1	CD2	CG1	CG11	CG12	CG13	CG14	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2003	514644.0	3853126.0	756.8559999999999	627.3959999999998	75.23	55.22999999999999	1229.0	293.0	520.0	416.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	102982.76	56373.93	5162.0	586.0	176.0	14913.0	2010.5	3246903.0	207751.0	102226.0	6515838.0	104817096.14999999	68796868.95	35907095.849999994	0.0	8553269.49	4256223.1	12549470.530000001	631853.0	58057928.74	14055706.05	307972.0	10213202.6	11346159.0	9151459.0	173484.0	56079.0	1104512.0	60538.0	693750.0	72110.0	741.0	11508.0	43342.0	543471.0	407466.0	1895.0	3835.0	25539.0	870.0	87116.0	16641.0	276334.0	1489.0	3337.0	15761953.0	15062.0	20077.0	1051.0	134273.0	5870.0	3347.0	2983.0	107546.0	144403.0	56280.0	1624671.0	100.0	785.0	55.0								
2004	493138.0	4875485.0	742.4657599999999	614.0257	66.44	61.89999999999999	1235.0	285.0	502.0	463.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	102024.5	57287.0	4960.0	580.0	165.0	14686.0	1930.0	3298389.0	450860.0	118414.0	5792604.0	104766008.60000001	67990954.77	36661646.129999995	0.0	8677297.05	4035252.8800000004	12737219.719999997	803045.4800000001	99448363.5	14519571.6	437910.0	11272786.58	11032192.0	8794163.0	166225.0	53707.0	1176318.0	32399.0	742806.0	67174.0	149.0	4125.0	42313.0	517245.0	356640.0	348.0	2367.0	32548.0	284.0	87807.0	8315.0	316904.0	1468.0	3669.0	17175927.0	19014.0	23805.0	1126.0	131421.0	5631.0	1941.0	1656.0	120969.0	112824.0	6811.0	1519467.0	10064.0	573.0	53.0								
2005	591972.0	6018038.0	893.4579999999994	641.9999999999998	77.89999999999999	55.349999999999994	1613.0	302.0	566.0	430.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	128739.0	66697.0	6404.0	789.0	156.0	26272.0	2961.15	3434667.0	205966.0	152174.0	6348973.0	125469959.72	78086976.75	44123494.79	0.0	12748906.209999999	5134049.99	14929319.749999998	573927.1	172532627.99999997	15378401.3	559503.94	15651515.260000002	12948653.0	10322426.0	173839.0	56118.0	1244966.0	63756.0	932196.0	75455.0	145.0	537.0	10492.0	656369.0	466311.0	1229.0	2326.0	53488.0	491.0	118297.0	6108.0	394680.0	8515.0	4953.0	22084572.0	17474.0	24228.0	944.0	473848.0	5096.0	13469.0	10827.0	442777.0	119172.0	8752.0	13183793.0	20233.0	304.0	100.0								
2006	546236.0	6679457.0	971.8899999999996	715.9249999999998	94.105	64.71000000000001	1693.0	356.0	637.0	406.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	133874.72999999998	64569.09	6545.0	791.0	181.0	25038.0	3008.15	3083323.0	426491.0	177265.0	7842898.0	145437875.79999998	87448445.56999998	54990942.29999999	17138734.42	14372889.91	5237422.92	16929497.93	602257.6599999999	100446474.94999999	16524769.530000001	1069024.9	15274863.400000002	15691065.0	12223432.0	71063.0	79813.0	1158514.0	218903.0	1063381.0	90812.0	26727.0	777.0	59877.0	676177.0	494533.0	1130.0	3323.0	38751.0	1879.0	120919.0	8389.0	382913.0	2279.0	4496.0	19804787.0	20479.0	18700.0	1752.0	40199.0	9566.0	8216.0	344.0	20632.0	153122.0	10406.0	13474970.0	2518.0	4748.0	95.0								
2007	585447.0	6370343.0	948.3899999999998	717.82	68.965	48.15	1678.0	289.0	660.0	403.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	135119.0	64396.0	6054.0	787.0	156.0	26615.0	3124.0	3281950.0	304878.0	231439.0	8042578.0	143197828.0	89520705.0	53677124.0	16757340.0	14859294.0	4974373.0	17086114.0	767372.0	97986969.0	17433706.0	866236.0	17224764.0	14393471.0	12062516.0	106097.0	85912.0	807025.0	220557.0	1014715.0	96649.0	26027.0	697.0	19138.0	764994.0	514414.0	1413.0	2694.0	104284.0	1713.0	132382.0	8094.0	524543.0	2364.0	4933.0	22217007.0	24104.0	19158.0	1390.0	42047.0	10325.0	9170.0	63.0	22489.0	138299.0	10127.0	5428148.0	916.0	8707.0	101.0								
2008	634965.0	6886416.0	1025.2899999999997	751.4399999999999	75.55999999999999	63.169999999999995	1776.0	323.0	661.0	407.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	148786.6	67746.97	6550.0	860.0	155.0	29141.0	3409.5	3490440.0	495926.0	374576.0	8556410.0	151226469.89999998	95717145.7	55509324.099999994	15757040.089999998	15841886.950000001	5551682.500000001	18358714.540000007	769250.05	102124536.85000001	17433407.65	1043712.65	16948507.4	15267386.0	12870360.0	109832.0	87499.0	712223.0	228245.0	1094145.0	165082.0	26283.0	12856.0	28558.0	741979.0	533865.0	5138.0	2719.0	24213.0	3907.0	148776.0	23361.0	459029.0	2751.0	6253.0	23701053.0	25785.0	23637.0	1880.0	39336.0	9943.0	9957.0	590.0	18846.0	194052.0	12473.0	5226949.0	118596.0	22054.0	111.0								
2009	612204.0	8517319.0	1061.1629999999993	774.7999999999998	80.86999999999999	67.51999999999998	1830.0	353.0	699.0	383.0	78321.0	53772.5	13331.5	5074825.0	3405191.0	6281.0	1609118.0	54235.0	186.0	151709.6	69419.1	6605.0	878.0	156.0	29646.5	3476.0	3641213.0	522220.0	366380.0	8676151.0	157215251.79999998	99708525.45	57506726.4	16999660.22	16215861.78	5667407.05	18553817.189999994	1078314.0	109522710.64999999	20169000.0	872564.8	17897923.7	18678844.0	13091645.0	109509.0	82041.0	3772274.0	228663.0	1211509.0	183203.0	53873.0	31480.0	191575.0	872806.0	591605.0	416.0	3357.0	119536.0	513.0	148361.0	9018.0	494039.0	3197.0	6679.0	24430488.0	26089.0	22359.0	2396.0	30651.0	8706.0	6264.0	973.0	14708.0	212172.0	12985.0	3705422.0	9221.0	28509.0	114.0								
2010	611370.0	8372205.0	1082.1689999999992	794.3399999999997	80.515	58.28999999999999	1870.0	351.0	715.0	404.0	92382.0	55726.5	13036.5	5428381.0	3640397.0	7379.0	1711204.0	69401.0	195.0	156233.6	72179.1	6754.0	903.0	161.0	30915.0	3605.65	3741766.0	506566.0	193552.0	8622136.0	163090948.5	104171392.39999999	58919556.1	17452519.94	16799149.9	5675994.65	18991891.639999997	1029227.0	111766566.89	20005216.77	894080.0	17088797.4	19087951.0	13296767.0	110290.0	83008.0	3893632.0	229521.0	1267848.0	206885.0	62190.0	34075.0	405490.0	844031.0	657209.0	827.0	3011.0	24531.0	455.0	152679.0	5319.0	594357.0	3942.0	7752.0	25128982.0	28713.0	22261.0	1835.0	33713.0	9314.0	9293.0	1136.0	13970.0	328047.0	14615.0	3838390.0	40490.0	34901.0	119.0								
2011	596211.0	8353480.0	1068.7499999999993	727.5289999999998	61.41	63.39999999999999	1878.0	293.0	681.0	447.0	154666.0	90820.0	22598.0	13323486.0	6768841.0	13131.0	3611099.0	99234.0	196.0	149435.6	70501.1	6688.0	929.0	144.0	30051.0	3566.3	4191459.0	445176.0	142236.0	8453147.0	164191332.6	105865994.94999999	58325337.6	16939537.45	16692483.31	5922138.4	18771178.349999998	1105913.0	195574483.11	20716319.0	1040831.0	16489254.35	19147653.0	13147884.0	110447.0	83924.0	4050725.0	230048.0	1324301.0	200324.0	64841.0	26093.0	317377.0	963608.0	591776.0	506.0	3347.0	205671.0	786.0	157703.0	3819.0	607672.0	4545.0	7739.0	25002273.0	30284.0	20947.0	1855.0	33803.0	10040.0	8550.0	1458.0	13755.0	327311.0	14146.0	5264382.0	110908.0	34996.0	115.0								
2012	613425.0	8149803.0	1173.8499999999992	825.395	124.89499999999998	72.65999999999998	2008.0	370.0	792.0	469.0	188559.0	102461.2	23650.5	10579440.0	6891610.0	11712.0	3581146.0	94972.0	197.0	155904.0	73150.0	7008.0	965.0	161.0	30588.0	3702.8	4388893.0	512482.0	127162.0	9165762.0	169926083.0	111095216.0	58831868.0	16572080.0	17379046.0	5741222.0	19136691.0	1465351.0	116908528.0	21014951.0	568939.0	16242348.0	20575616.0	13760441.0	111491.0	85203.0	4779037.0	227840.0	1403385.0	207813.0	69310.0	24936.0	506178.0	872742.0	650020.0	915.0	2932.0	49675.0	331.0	161471.0	5613.0	613327.0	4937.0	8938.0	24941361.0	34778.0	26571.0	1456.0	47997.0	18123.0	12230.0	1301.0	16343.0	441456.0	13721.0	6528144.0	198275.0	55434.0	118.0								
2013	591339.0	8414347.0	1169.6799999999996	752.1400000000001	105.38	70.036	2026.0	328.0	804.0	439.7	187356.0	103571.0	23608.5	12886104.0	8115497.0	33981.0	4590475.0	146150.0	207.0	159888.0	75095.0	7243.0	957.0	163.0	30674.0	3834.25	4244629.0	518896.0	96509.0	9333704.0	175135364.20000002	111165477.8415	63975886.4	19661970.0	18538066.6	6688552.0	19081297.75	1440198.0	124065126.25	21309494.0	911413.5	16272292.6	20924604.0	13888657.0	111732.0	91017.0	4951204.0	230160.0	1433278.0	218556.0	73946.0	24667.0	706941.0	963072.0	615265.0	300.0	3395.0	174024.0	320.0	164199.0	5569.0	655686.0	5771.0	8958.0	24821033.0	41637.0	29528.0	1416.0	75964.0	30072.0	24633.0	1519.0	19740.0	376320.0	13581.0	7302253.0	346702.0	74573.0	119.0								
2014	580918.0	7674730.0	1147.609999999999	764.1500000000003	88.285	59.906	2004.0	361.0	837.0	437.0	201030.0	107179.0	22200.0	14485195.0	9187168.0	32080.0	4839721.0	236695.0	207.0	155413.0	74757.0	7247.0	885.0	139.0	30003.0	3944.6499999999996	4405782.0	478862.0	154794.0	9558464.0	176383925.0	114367195.0	62014730.0	17355117.0	19383639.0	6688884.0	18650899.0	1569933.0	127998956.0	21777213.0	1707190.0	15927830.0	21303269.0	14090743.0	115106.0	106975.0	5054178.0	230752.0	1458890.0	246650.0	106505.0	93410.0	1793613.0	882003.0	611284.0	2375.0	3348.0	107883.0	755.0	147278.0	8843.0	709047.0	6280.0	8783.0	24587904.0	41133.0	30723.0	1382.0	72123.0	24148.0	31223.0	2190.0	14562.0	115043.0	14813.0	8464382.0	504574.0	67583.0	119.0								
2015	569318.0	7900878.0	1155.6149999999989	850.1100000000001	86.03499999999998	65.13999999999999	2025.0	374.0	849.0	424.0	176158.0	117398.86	20196.0	14624422.0	9384773.0	31127.0	4960264.0	248258.0	212.0	153035.0	72993.0	7359.0	921.0		29600.5	3953.0499999999997	5159771.0	475728.0	119561.0	9463612.0	177908671.0	115777389.0	62111379.0	17307394.0	20369347.0	6743216.0	17691422.0	1701293.0	126256933.0	21478111.0	883305.0	15274615.0	21368834.0	13947281.0	179333.0	93862.0	5131823.0	199872.0	1482541.0	334130.0	149862.0			877064.0	582185.0	833.0	2383.0	78384.0	304.0	153983.0	58992.0	740981.0	6669.0	9149.0	24940411.0	39291.0	28024.0	1797.0	66756.0	24631.0	25657.0	1109.0	15381.0	307669.0	13624.0	6631414.0			119.0	2274.0	24418.0	49724.0	2871654.0	628034.0	87775.0	5102.0	78490.0
