Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2003	199366.0	4451696.0	1004.6400000000001	864.4800000000001	84.89999999999999	55.26	1337.0	571.0	540.0	226.0	42.0	156880.0	57529.0	7569.0	907.0	102.0	4054.5	913.0	1982149.0	509053.0	2599332.0	15564916.0	168378776.89999998	98675648.78	69703128.1	0.0	8282950.0	4741774.0	44086391.92	7729685.55	156832329.8	1744926.0	49800.0	7186022.6	30171704.0	20709252.0	522394.0	666655.0	2786488.0	3064145.0	101223.0	2321547.0	108945.0	6535.0	27443.0	518976.0	353924.0	69158.0	10709.0	19578.0	28428.0	6083.0	31096.0	19547.0	373.0	1531.0	3036550.0	168159.0	101288.0	227422.0	103330.0	41564.0	12978.0	19335.0	20561.0	102193.0	3157.0	5863455.0	1402212.0	2350918.0	14.0								
2004	223932.0	5285870.0	1044.795	876.23	109.29499999999999	59.27	1396.0	597.0	574.0	225.0	47.0	161690.33000000002	60498.01	7909.0	1017.0	106.0	4154.0	936.0	2068814.0	583252.0	2752222.0	15889566.0	176888501.3	103525370.97	73363130.33	0.0	10136384.0	4584064.55	44827243.36	9308054.96	166323603.3	1843033.26	53300.0	8471924.25	30632979.0	20991948.0	554628.0	687759.0	2794238.0	3137562.0	110613.0	2356231.0	153200.0	10099.0	38632.0	496498.0	343536.0	26405.0	9532.0	10538.0	49797.0	8104.0	34643.0	19623.0	477.0	1544.0	3314042.0	176469.0	110461.0	281051.0	113099.0	50797.0	17579.0	19786.0	20628.0	162559.0	8512.0	5375400.0	1945571.0	2972510.0	14.0								
2005	224456.0	5308574.0	1032.8200000000002	870.6500000000001	101.50000000000001	60.67	1388.0	587.0	594.0	207.0	47.0	165558.8	63548.4	8131.0	1002.0	107.0	4162.5	926.0	2022312.0	638993.0	2909592.0	16176322.0	180095609.79000002	105677353.73	74379256.06	0.0	10816060.899999999	4383046.4	46443358.21	10788566.879999999	167198829.0	3574291.0	116685.0	9984986.9	31143451.0	21330666.0	555671.0	709561.0	2888292.0	3152700.0	119508.0	2387053.0	192301.0	11294.0	55900.0	533677.0	352115.0	4808.0	8078.0	109412.0	19377.0	8470.0	31417.0	39244.0	487.0	1653.0	3439162.0	162253.0	87431.0	289467.0	99992.0	53850.0	15734.0	18959.0	8470.0	299108.0	8907.0	5636871.0	2350626.0	3204853.0	14.0								
2006	223269.0	5238288.0	930.3	676.3663999999999	69.92330000000001	46.0	1261.0	536.0	538.0	187.0	43.0	152139.0	61245.0	7831.0	1000.0	99.0	3809.0	854.75	2012784.0	571690.0	2909776.0	19067619.0	168110809.0	96024423.0	72086386.0	9090612.0	10867190.0	4013687.0	48114897.0	12249675.0	158988238.0	560997.0	1660159.0	9469825.0	29219907.0	19613748.0	562702.0	715635.0	2779038.0	3016252.0	120699.0	2411833.0	200185.0	12276.0	82974.0	415630.0	323157.0	41032.0	7465.0	11607.0	19569.0	7895.0	25799.0	19770.0	457.0	1640.0	3359391.0	166063.0	97699.0	276713.0	89105.0	56818.0	4507.0	16419.0	11361.0	51890.0	6516.0	6515335.0	3593224.0	3621422.0	13.0								
2007	221885.0	6817210.0	903.5999999999999	770.9039999999999	81.2	51.330000000000005	1274.0	508.0	528.0	238.0	40.0	148270.0	56560.0	9636.0	1213.0	111.0	3816.0	883.0	2186032.0	581206.0	2818771.0	19149080.0	178294742.0	98860106.0	79434636.0	16554747.0	8741562.0	3790746.0	50347581.0	13763554.0	162309091.0	1660690.0	1698694.0	10655027.0	29281173.0	19591510.0	566617.0	731552.0	2800900.0	3020459.0	129789.0	2440346.0	241515.0	13487.0	102263.0	416373.0	306902.0	4310.0	33601.0	21850.0	12838.0	9379.0	27493.0	27506.0	297.0	1537.0	3368205.0	173934.0	111158.0	243471.0	84725.0	62205.0	4479.0	6898.0	11143.0	70956.0	8450.0	8905402.0	3596678.0	4534047.0	13.0								
2008	233356.0	4814027.0	1157.0	957.8369999999999	137.48	61.63	1733.0	614.0	679.0	440.0	131.0	192167.0	71708.0	12679.0	1901.0	223.0	4169.0	990.0	2857672.0	909772.0	2918797.0	17958389.0	202800274.0	114271733.0	88528541.0	9621372.0	8733886.0	5284754.0	64888529.0	20485528.0	157563477.0	3930245.0	1590128.0	10896858.0	38042003.0	24011561.0	4110318.0	771153.0	3138044.0	3092068.0	346419.0	2572440.0	324185.0	16932.0	296532.0	849688.0	590389.0	10439.0	7744.0	171675.0	8016.0	19407.0	42544.0	45977.0	381.0	2151.0	4043437.0	207751.0	115913.0	231331.0	82131.0	60378.0	4641.0	6452.0	10660.0	56266.0	16301.0	8655116.0	4750853.0	8745182.0	14.0								
2009	241968.0	4774576.0	1188.3	968.708	157.22999999999996	62.480000000000004	1779.0	655.0	734.0	390.0	133.0	192633.0	76735.0	12707.0	1874.0	237.0	4161.0	985.0	2937419.0	946610.0	3345739.0	17932161.0	225523640.0	124526285.0	100997355.0	17854089.0	9021219.0	5794913.0	68327134.0	22474008.0	187674377.0	8269149.0	94288.0	12517286.0	38581024.0	24042423.0	4287352.0	760796.0	3620062.0	3072197.0	180897.0	2617297.0	405490.0	19346.0	819223.0	1198366.0	479426.0	183672.0	5474.0	480822.0	7750.0	9846.0	31376.0	90671.0	356.0	2354.0	4598472.0	200072.0	130883.0	211706.0	88020.0	65256.0	2825.0	5782.0	14157.0	665244.0	9888.0	9673318.0	5489653.0	10421465.0	14.0								
2010	248139.0	3779735.0	1217.1000000000001	866.59	172.77	57.7	1845.0	609.0	705.0	316.0	92.0	175932.0	75150.0	13428.0	1941.0	230.0	4233.0	1051.8	2318280.0	1110001.0	3634526.0	17794363.0	225950413.0	129269917.0	96680496.0	13893844.0	8939284.0	5273000.0	68574368.0	24457694.0	192442172.0	8825904.0	354748.0	13086101.0	40467332.0	24687666.0	4890529.0	768603.0	3877850.0	3074059.0	194652.0	2838973.0	437767.0	11441.0	1268304.0	1448182.0	503922.0	495643.0	6678.0	68603.0	2901.0	11337.0	319098.0	22784.0	374.0	2524.0	4707095.0	210540.0	156224.0	183400.0	88440.0	64787.0	4313.0	4714.0	14626.0	848529.0	8850.0	9424981.0	6677933.0	9827299.0	14.0								
2011	257239.0	4472517.0	1245.6	1008.8100000000001	176.16	60.6	1880.0	636.0	779.0	465.0	92.0	212248.0	85821.0	13743.0	1877.0	229.0	4332.0	1067.12	3969377.0	1645931.0	3965406.0	22323716.0	233457632.0	134284254.0	99173378.0	15599987.0	9158385.0	5710453.0	68704553.0	26278842.0	196209353.0	8625215.0	436087.0	17206501.0	41118521.0	25273898.0	5252363.0	771327.0	3656647.0	3070412.0	213425.0	2880449.0	555096.0	14269.0	1718240.0	991075.0	525774.0	250013.0	5658.0	148331.0	1632.0	20073.0	39594.0	63567.0	278.0	2253.0	4793912.0	229087.0	173252.0	179791.0	111167.0	84861.0	5870.0	5613.0	14932.0	763861.0	16623.0	8903132.0	34767032.0	11507590.0	14.0								
2012	254824.0	4981828.0	1269.0	1002.79	199.66	66.4	1843.0	633.0	802.0	408.0	92.0	212792.0	86350.0	13766.0	1971.0	231.0	4310.0	1091.5	3811458.0	2080295.0	3738411.0	19157895.0	240542275.0	137495428.0	103046847.0	12414932.0	9996470.0	6802179.0	75394346.0	34515429.0	202441671.0	9807016.0	239404.0	15570521.0	43842078.0	26829724.0	5509642.0	774414.0	4489254.0	3071517.0	223991.0	2943536.0	560238.0	20130.0	2924472.0	1015066.0	534222.0	257390.0	8414.0	121058.0	1207.0	12794.0	65106.0	147319.0	701.0	2509.0	5001049.0	264692.0	208753.0	156777.0	384473.0	355966.0	8294.0	7583.0	12630.0	1240608.0	11925.0	9495560.0	128860904.0	11653146.0	14.0								
