Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	CB1	CD1	CD2	CG1	CG11	CG12	CG13	CG14	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F39a	F40	F41	F42	F43	F44	F45	F45a	F46	F47	F47a	F47b	F47c	F47d	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G58a	G58b	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	TYPE
2003	14240.42857142857	556462.0	71.76	61.74857142857144	6.064285714285714	3.947142857142857	95.5	40.785714285714285	38.57142857142857	16.142857142857142									3.0	11205.714285714286	4425.307692307692	540.6428571428571	64.78571428571429	7.285714285714286	289.60714285714283	65.21428571428571	152473.0	39157.92307692308	185666.57142857142	1111779.7142857143	12027055.492857141	7048260.627142857	4978794.864285714		690245.8333333334	395147.8333333333	3149027.9942857143	552120.3964285714	11202309.271428572	134225.07692307694	3830.769230769231	513287.32857142854	2155121.714285714	1479232.2857142857	37313.857142857145		47618.21428571428	199034.85714285713	235703.46153846153	7230.214285714285	165824.7857142857	8380.384615384615		466.7857142857143	1960.2142857142858					37069.71428571428	25280.285714285714	4939.857142857143	764.9285714285714	1398.4285714285713	2030.5714285714287	434.5	2221.1428571428573	1954.7	26.642857142857142	109.35714285714286			216896.42857142858	12011.357142857143	7234.857142857143	16244.42857142857	7948.461538461538	3778.5454545454545	1297.8	1933.5	2056.1	7861.0	394.625	418818.21428571426	127473.81818181818	261213.11111111112	14.0	Bibliothèques universitaires
2004	15995.142857142857	587318.8888888889	74.6282142857143	62.587857142857146	7.806785714285714	4.2335714285714285	99.71428571428571	42.642857142857146	41.0	16.071428571428573									3.357142857142857	11549.309285714287	4653.693076923077	564.9285714285714	72.64285714285714	7.571428571428571	296.7142857142857	66.85714285714286	159139.53846153847	44865.53846153846	196587.2857142857	1134969.0	12634892.950000001	7394669.3549999995	5240223.595		844698.6666666666	382005.37916666665	3201945.9542857143	664861.0685714287	12794123.330769232	153586.105	4441.666666666667	605137.4464285715	2188069.9285714286	1499424.857142857	42663.692307692305		49125.642857142855	199588.42857142858	224111.57142857142	7900.928571428572	168302.2142857143	10942.857142857143		721.3571428571429	2759.4285714285716					35464.142857142855	26425.846153846152	2400.4545454545455	794.3333333333334	878.1666666666666	3830.5384615384614	623.3846153846154	2886.9166666666665	1783.909090909091	34.07142857142857	110.28571428571429			236717.2857142857	12604.92857142857	7890.071428571428	20075.071428571428	8699.923076923076	4617.909090909091	1598.090909090909	1978.6	1875.2727272727273	12504.538461538461	773.8181818181819	383957.14285714284	194557.1	330278.8888888889	14.0	Bibliothèques universitaires
2005	16032.57142857143	589841.5555555555	73.77285714285715	62.189285714285724	7.250000000000001	4.333571428571429	99.14285714285714	41.92857142857143	42.42857142857143	14.785714285714286									3.357142857142857	11825.628571428571	4888.338461538462	580.7857142857143	71.57142857142857	7.642857142857143	297.32142857142856	66.14285714285714	155562.46153846153	49153.307692307695	223814.76923076922	1155451.5714285714	12863972.127857145	7548382.409285715	5312804.004285715		901338.4083333332	398458.76363636367	3317382.729285714	770611.9199999999	12861448.384615384	324935.54545454547	9723.75	713213.35	2224532.214285714	1523619.0	42743.92307692308		50682.92857142857	206306.57142857142	225192.85714285713	8536.285714285714	170503.7857142857	13735.785714285714		806.7142857142857	4300.0					38119.78571428572	25151.071428571428	343.42857142857144	577.0	7815.142857142857	1384.0714285714287	605.0	2244.0714285714284	3567.6363636363635	34.785714285714285	118.07142857142857			245654.42857142858	11589.5	6245.071428571428	20676.214285714286	8332.666666666666	4487.5	1430.3636363636363	1723.5454545454545	770.0	23008.30769230769	809.7272727272727	402633.64285714284	235062.6	356094.77777777775	14.0	Bibliothèques universitaires
2006	17174.53846153846	654786.0	71.56153846153846	56.36386666666666	5.826941666666667	3.8333333333333335	97.0	41.23076923076923	41.38461538461539	14.384615384615385									3.3076923076923075	11703.0	5103.75	602.3846153846154	76.92307692307692	7.615384615384615	293.0	65.75	167732.0	47640.833333333336	242481.33333333334	1466739.923076923	12931600.692307692	7386494.076923077	5545106.615384615	757551.0	987926.3636363636	334473.9166666667	3701145.923076923	942282.6923076923	13249019.833333334	56099.7	166015.9	728448.0769230769	2247685.153846154	1508749.8461538462	43284.769230769234		55048.846153846156	213772.15384615384	232019.38461538462	9284.538461538461	185525.61538461538	15398.846153846154		944.3076923076923	6382.615384615385					31971.53846153846	24858.23076923077	3156.3076923076924	574.2307692307693	892.8461538461538	1505.3076923076924	607.3076923076923	1984.5384615384614	1797.2727272727273	35.15384615384615	126.15384615384616			258414.6923076923	12774.076923076924	7515.307692307692	21285.615384615383	6854.2307692307695	4734.833333333333	500.77777777777777	1641.9	1032.8181818181818	4324.166666666667	651.6	501179.6153846154	359322.4	402380.22222222225	13.0	Bibliothèques universitaires
2007	17068.076923076922	757467.7777777778	69.5076923076923	59.30030769230768	6.246153846153846	3.948461538461539	98.0	39.07692307692308	40.61538461538461	18.307692307692307									3.076923076923077	11405.384615384615	4713.333333333333	741.2307692307693	93.3076923076923	8.538461538461538	293.53846153846155	67.92307692307692	182169.33333333334	48433.833333333336	234897.58333333334	1473006.1538461538	13714980.153846154	7604623.538461538	6110356.615384615	1273442.076923077	874156.2	344613.2727272727	3872890.846153846	1058734.923076923	13525757.583333334	166069.0	169869.4	819617.4615384615	2252397.923076923	1507039.2307692308	43585.92307692308		56273.230769230766	215453.84615384616	232343.0	9983.76923076923	187718.92307692306	18578.076923076922		1037.4615384615386	7866.384615384615					32028.69230769231	23607.846153846152	331.53846153846155	2800.0833333333335	1820.8333333333333	1069.8333333333333	721.4615384615385	2114.846153846154	2292.1666666666665	22.846153846153847	118.23076923076923			259092.6923076923	13379.538461538461	8550.615384615385	18728.53846153846	6517.307692307692	5183.75	497.6666666666667	689.8	1013.0	5458.153846153846	845.0	685030.9230769231	359667.8	503783.0	13.0	Bibliothèques universitaires
2008	17950.46153846154	601753.375	82.64285714285714	68.41692857142856	9.819999999999999	4.402142857142858	123.78571428571429	43.857142857142854	48.5	31.428571428571427									9.357142857142858	13726.214285714286	5975.666666666667	905.6428571428571	135.78571428571428	15.928571428571429	297.7857142857143	70.71428571428571	238139.33333333334	75814.33333333333	265345.1818181818	1381414.5384615385	14485733.857142856	8162266.642857143	6323467.214285715	740105.5384615385	793989.6363636364	440396.1666666667	4634894.928571428	1463252.0	13130289.75	393024.5	159012.8	838219.8461538461	2717285.9285714286	1715111.5	316178.3076923077		55082.357142857145	224146.0	237851.38461538462	24744.214285714286	197880.0	23156.071428571428		1209.4285714285713	21180.85714285714					60692.0	42170.642857142855	803.0	553.1428571428571	13205.76923076923	616.6153846153846	1386.2142857142858	3272.6153846153848	3536.6923076923076	27.214285714285715	153.64285714285714			288816.9285714286	14839.357142857143	8279.5	16523.64285714286	5866.5	4644.461538461538	515.6666666666666	645.2	969.0909090909091	4019.0	1358.4166666666667	618222.5714285715	431895.7272727273	795016.5454545454	14.0	Bibliothèques universitaires
2009	17283.428571428572	596822.0	84.87857142857142	69.19342857142857	12.094615384615382	4.806153846153847	127.07142857142857	46.785714285714285	52.42857142857143	27.857142857142858									9.5	13759.5	6394.583333333333	907.6428571428571	133.85714285714286	16.928571428571427	297.2142857142857	70.35714285714286	244784.91666666666	78884.16666666667	304158.0909090909	1379397.0	16108831.42857143	8894734.642857144	7214096.785714285	1373391.4615384615	902121.9	482909.4166666667	4880509.571428572	1605286.2857142857	15639531.416666666	689095.75	8571.636363636364	962868.1538461539	2755787.4285714286	1717315.9285714286	329796.3076923077		54342.57142857143	258575.85714285713	236322.84615384616	12921.214285714286	201330.53846153847	28963.571428571428		1381.857142857143	58515.92857142857					85597.57142857143	34244.71428571428	14128.615384615385	391.0	36986.307692307695	596.1538461538462	703.2857142857143	2413.5384615384614	7555.916666666667	25.428571428571427	168.14285714285714			328462.28571428574	14290.857142857143	9348.785714285714	15121.857142857143	6287.142857142857	5019.692307692308	282.5	481.8333333333333	1089.0	47517.42857142857	824.0	690951.2857142857	499059.36363636365	947405.9090909091	14.0	Bibliothèques universitaires
2010	17724.214285714286	629955.8333333334	86.9357142857143	66.66076923076923	13.290000000000001	4.438461538461539	131.78571428571428	46.84615384615385	54.23076923076923	24.307692307692307									7.076923076923077	13533.23076923077	6831.818181818182	959.1428571428571	138.64285714285714	16.428571428571427	302.35714285714283	75.12857142857142	193190.0	92500.08333333333	330411.45454545453	1482863.5833333333	16139315.214285715	9233565.5	6905749.714285715	1068757.2307692308	812662.1818181818	405615.3846153846	4898169.142857143	1746978.142857143	14803244.0	678915.6923076923	29562.333333333332	1006623.1538461539	2890523.714285714	1763404.7142857143	376194.53846153844		59123.307692307695	298296.1538461539	236466.07692307694	13903.714285714286	218382.53846153847	31269.071428571428		817.2142857142857	90593.14285714286					103441.57142857143	38763.230769230766	38126.38461538462	513.6923076923077	5277.153846153846	223.15384615384616	872.0769230769231	24546.0	1752.6153846153845	26.714285714285715	180.28571428571428			336221.0714285714	15038.57142857143	11158.857142857143	13100.0	6803.076923076923	4983.615384615385	392.09090909090907	392.8333333333333	1125.076923076923	65271.46153846154	804.5454545454545	673212.9285714285	556494.4166666666	818941.5833333334	14.0	Bibliothèques universitaires
2011	18374.214285714286	559064.625	88.97142857142856	72.05785714285715	12.582857142857142	4.328571428571428	134.28571428571428	45.42857142857143	55.642857142857146	33.214285714285715									6.571428571428571	15160.57142857143	7151.75	981.6428571428571	134.07142857142858	16.357142857142858	309.42857142857144	76.22285714285714	283526.9285714286	117566.5	305031.23076923075	1594551.142857143	16675545.142857144	9591732.42857143	7083812.714285715	1199999.0	915838.5	439265.6153846154	4907468.071428572	1877060.142857143	14014953.785714285	616086.7857142857	31149.071428571428	1229035.7857142857	2937037.214285714	1805278.4285714286	375168.78571428574		55094.78571428572	261189.07142857142	219315.14285714287	15244.642857142857	205746.35714285713	39649.71428571428		1019.2142857142857	122731.42857142857					70791.07142857143	37555.28571428572	19231.76923076923	435.2307692307692	11410.076923076924	125.53846153846153	1433.7857142857142	2828.1428571428573	4540.5	19.857142857142858	160.92857142857142			342422.28571428574	16363.357142857143	12375.142857142857	12842.214285714286	7940.5	6061.5	451.53846153846155	400.92857142857144	1066.5714285714287	54561.5	1278.6923076923076	635938.0	2897252.6666666665	958965.8333333334	14.0	Bibliothèques universitaires
2012	18201.714285714286	622728.5	90.64285714285714	71.62785714285714	14.26142857142857	4.742857142857143	131.64285714285714	45.214285714285715	57.285714285714285	29.142857142857142									6.571428571428571	15199.42857142857	7195.833333333333	983.2857142857143	140.78571428571428	16.5	307.85714285714283	77.96428571428571	272247.0	148592.5	287570.07692307694	1368421.0714285714	17181591.07142857	9821102.0	7360489.071428572	954994.7692307692	999647.0	485869.9285714286	5385310.428571428	2465387.785714286	14460119.357142856	700501.1428571428	17100.285714285714	1112180.0714285714	3131577.0	1916408.857142857	393545.85714285716		55315.28571428572	320661.0	219394.07142857142	15999.357142857143	210252.57142857142	40017.0		1437.857142857143	208890.85714285713					72504.71428571429	41094.0	19799.23076923077	647.2307692307693	9312.153846153846	92.84615384615384	984.1538461538462	4650.428571428572	10522.785714285714	50.07142857142857	179.21428571428572			357217.78571428574	18906.571428571428	14910.92857142857	11198.357142857143	27462.35714285714	25426.14285714286	638.0	541.6428571428571	902.1428571428571	88614.85714285714	917.3076923076923	678254.2857142857	11714627.636363637	1059376.9090909092	14.0	Bibliothèques universitaires
